Restaurant Name,Rating,Category,Address
Bamboo Restaurant,4.3,chinese,"641 King St, Welland, ON L3B 3L5"
Magnolia Chinese Cuisine,4.3,Chinese,"7666 Lundy'S Lane, Niagara Falls, ON L2H 1H1"
Asia Fusion,4.3,Asian fusion,"248 Wellington Street, Welland, ON L3B 1B5"
Rangla Punjab Indian Restaurant,3.9,Indian,"5550 Ferry St, Niagara Falls, ON L2G 1S4"
Pete's Pizza,4.4,Pizza,"4914 Victoria Ave, Niagara Falls, ON L2E 4C6"
Hijabeez Shawarma & Falafel House,4.8,Mediterranean,"6850 Thorold Stone Road Unit 5, Niagara Falls, NAMER L2J 1B4"
Twice the Deal (30 Rice Road),4.5,Italian,"30 Rice Rd, Welland, Ontario L3C 2V4"
Green Island Chinese Resturant and Bar,4.4,Chinese,"8278 Regional Rd 57, Niagara Falls, ON L2H"
Hot Kitchen,4.3,Indian,"491 Merritt St, St Catharines, ON L2P"
Firehouse Subs (Niagara Falls),4.7,Sandwich,"6758 Lundy'S Ln, Unit 6, Niagara Falls, ON L2G"
The Pizzeria,4.2,Pizza,"6175 Dunn St, Niagara Falls, NAMER L2G 2P4"
Fresh Burrito (5932 Victoria Ave),4.4,Mexican,"5932 Victoria Avenue, Unit 6, Niagara Falls, ON L2G"
Smoke's Poutinerie (St Paul & James),4.6,Fast food,"10 Summer St, St. Catharine'S, ON L2R"
Volcanos Pizzeria (Fonthill),New,Pizza,"1409 Pelham St, ON L0S"
