Restaurant_Name,min_price,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province
Tavola,45,4.5,363,Italian,vancouver,BC,"1829 Robson Street Vancouver, BC V6G 3E4 Canada",49.2919265,-123.135706,BC
España Restaurant,25,4.2,250,Spanish,vancouver,BC,"1118 Denman Street Vancouver, BC V6G 2M8 Canada",49.2880552,-123.1404114,BC
Chambar,45,4.2,1500,Belgian,vancouver,BC,"568 Beatty Street Vancouver, BC V6B 2L3 Canada",49.2801544,-123.109903,BC
Joe Fortes Seafood & Chop House,45,4.0,1200,Seafood,vancouver,BC,"777 Thurlow Street Vancouver, BC V6E 3V5 Canada",49.284937,-123.124763,BC
Nobi Nobi,25,4.5,38,Japanese,vancouver,BC,"11320 Steveston Hwy Unit 110 Richmond, BC V7A 5J5 Canada",49.1330708,-123.0980046,BC
Nightingale,45,4.1,472,Live/Raw Food,vancouver,BC,"1017 West Hastings Street Vancouver, BC V6E 0C4 Canada",49.2873812,-123.1174873,BC
Maenam,25,3.9,380,Thai,vancouver,BC,"1938 W 4th Avenue Vancouver, BC V6J 1M5 Canada",49.2678675,-123.148895,BC
Lunch Lady,25,4.0,197,Vietnamese,vancouver,BC,"1046 Commercial Drive Vancouver, BC V5L 3W9 Canada",49.274972,-123.0693501,BC
Jingle Bao,25,4.1,152,Asian Fusion,vancouver,BC,"774 Denman Street Vancouver, BC V6G 1C9 Canada",49.2916234,-123.1348781,BC
Bao Bei Chinese Brasserie,45,3.9,415,Chinese,vancouver,BC,"163 Keefer Street Vancouver, BC V6A 1X3 Canada",49.2796534,-123.1006157,BC
Cactus Club Cafe,25,4.2,822,Canadian (New),vancouver,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada",49.2894022,-123.1180433,BC
Cactus Club Cafe,25,4.2,822,Canadian (New),vancouver,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada",48.424893,-123.364927,BC
Alibi Room,25,4.3,566,Pubs,vancouver,BC,"157 Alexander Street Vancouver, BC V6A 1B8 Canada",49.2842407,-123.1002791,BC
Tom Sushi,25,4.7,194,Sushi Bars,vancouver,BC,"1175 Davie St Vancouver, BC V6E 1N2 Canada",49.2816505,-123.1326617,BC
AnnaLena,50,4.5,347,Canadian (New),vancouver,BC,"1809 W 1st Avenue Vancouver, BC V6J 5B8 Canada",49.2708117,-123.1468222,BC
Chinatown BBQ,25,4.5,261,Chinese,vancouver,BC,"130 E Pender Street Vancouver, BC V6A 1T3 Canada",49.2801868,-123.1014854,BC
Seiza,25,3.9,79,Japanese,vancouver,BC,"3068 Main Street Vancouver, BC V5T 3G5 Canada",49.2578688,-123.1008956,BC
Le Crocodile Restaurant,50,4.3,438,French,vancouver,BC,"909 Burrard Street Vancouver, BC V6Z 2N2 Canada",49.2825393,-123.1252052,BC
Linh Cafe,25,3.9,299,Vietnamese,vancouver,BC,"1428 Granville Street Vancouver, BC V6Z 1N2 Canada",49.2746224,-123.129706,BC
The Fish Counter,25,4.4,350,Fish & Chips,vancouver,BC,"3825 Main Street Vancouver, BC V5V 3P2 Canada",49.2507837,-123.1012792,BC
Suika,25,4.1,520,Japanese,vancouver,BC,"1626 W Broadway Vancouver, BC V6J 1X6 Canada",49.2634105,-123.1416899,BC
Hei Hei Rice Roll,25,4.3,83,Chinese,vancouver,BC,"2430-8260 Westminster Highway Richmond, BC V6X 1A7 Canada",49.1697285,-123.1330757,BC
The Mackenzie Room,50,4.5,182,Canadian (New),vancouver,BC,"415 Powell Street Vancouver, BC V6A 1G7 Canada",49.2833009,-123.0949246,BC
La Belle Patate,25,4.1,544,Fast Food,vancouver,BC,"1215 Davie Street Vancouver, BC V6E 1N4 Canada",49.2820333,-123.1335487,BC
La Belle Patate,25,4.1,544,Fast Food,vancouver,BC,"1215 Esquimalt Road Victoria, BC V9A 3P1 Canada",48.4300048,-123.4132095,BC
Burgoo Bistros,25,3.8,497,Comfort Food,vancouver,BC,"3096 Main Street Vancouver, BC V5T 3G5 Canada",49.2576435,-123.100815,BC
Elisa,50,4.2,194,Steakhouses,vancouver,BC,"1109 Hamilton Street Vancouver, BC V6B 5P6 Canada",49.2759585,-123.1214078,BC
St Lawrence Restaurant,45,4.4,140,French,vancouver,BC,"269 Powell Street Vancouver, BC V6A 1G3 Canada",49.2833058,-123.0979713,BC
Laksa King,25,3.8,207,Burmese,vancouver,BC,"2546 E Hastings Street Vancouver, BC V5K 1Z3 Canada",49.2810252,-123.0533381,BC
Ramen Danbo,25,4.4,580,Ramen,vancouver,BC,"1333 Robson Street Vancouver, BC V6E 2B1 Canada",49.2875039,-123.1289419,BC
Ramen Danbo,25,4.4,580,Ramen,vancouver,BC,"1833 W 4th Avenue Vancouver, BC V6J 1M4 Canada",49.2682648,-123.1464325,BC
Holy Chow,25,4.1,44,Asian Fusion,vancouver,BC,"433 W Pender Street Vancouver, BC V6B 1B2 Canada",49.2831841,-123.1123852,BC
Fritz European Fry House,10,4.2,807,Fast Food,vancouver,BC,"718 Davie Street Vancouver, BC V6Z 1B6 Canada",49.2773082,-123.1266682,BC
Go Fish Ocean Emporium,25,3.9,502,Seafood,vancouver,BC,"1505 W 1st Avenue Vancouver, BC V6J 1E8 Canada",49.2715703,-123.1399695,BC
The Red Accordion,25,4.7,72,Cocktail Bars,vancouver,BC,"1616 Alberni Street Vancouver, BC V6G 1A6 Canada",49.2902313,-123.131818,BC
La Taqueria Pinche Taco Shop,25,4.3,521,Mexican,vancouver,BC,"322 W Hastings Street Vancouver, BC V8B 1K6 Canada",49.2829621,-123.1105621,BC
La Notte Restaurant,25,3.9,55,Italian,vancouver,BC,"3307 Dunbar St Vancouver, BC V6S 2B9 Canada",49.2572246,-123.1853607,BC
Shiok Singapore Cuisine,25,3.8,102,Singaporean,vancouver,BC,"1716 Kingsway Vancouver, BC V5N 2S4 Canada",49.2470228,-123.0695689,BC
Breakfast Table,25,4.3,251,Breakfast & Brunch,vancouver,BC,"3014 Granville Street Vancouver, BC V6H 1H6 Canada",49.258568,-123.1385172,BC
Hawkers Delight Deli,10,3.9,351,Delis,vancouver,BC,"4127 Main Street Vancouver, BC V5V 3P6 Canada",49.2483626,-123.101467,BC
Afghan Horsemen Restaurant,25,3.9,244,Middle Eastern,vancouver,BC,"1833 Anderson Street Suite 202 Vancouver, BC V6H 4E5 Canada",49.2693903,-123.1389283,BC
Maruhachi Ra-men,25,4.4,755,Ramen,vancouver,BC,"780 Bidwell Street Vancouver, BC V6G 2J6 Canada",49.2905702,-123.1333439,BC
The Greek By Anatoli,25,3.8,253,Greek,vancouver,BC,"1043 Mainland Street Vancouver, BC V6B Canada",49.2762132,-123.1198874,BC
Nuba in Gastown,45,4.1,743,Mediterranean,vancouver,BC,"207 W Hastings Street Vancouver, BC V6B 1K6 Canada",49.2829632,-123.1096299,BC
Bodega On Main,25,3.9,212,Spanish,vancouver,BC,"1014 Main Street Vancouver, BC V6A 2W1 Canada",49.2754689,-123.0994804,BC
The Mexican Antojitos Y Cantina,25,4.3,402,Mexican,vancouver,BC,"1049 Granville Street Vancouver, BC V6Z 1L4 Canada",49.2787855,-123.1240318,BC
Mott 32,50,3.9,176,Chinese,vancouver,BC,"1161 W Georgia Street Vancouver, BC V6E 0C6 Canada",49.2867693,-123.124256,BC
Banana Leaf,25,3.7,299,Malaysian,vancouver,BC,"820 W Broadway Vancouver, BC V5Z 1J8 Canada",49.2631202,-123.1224844,BC
Burger Crush,25,4.6,19,Burgers,vancouver,BC,"755 Nelson Street Vancouver, BC V6Z 1V3 Canada",49.2797631,-123.1234938,BC
Micha,25,4.4,42,Chinese,vancouver,BC,"120-4751 Garden City Road Richmond, BC V6X 3M7 Canada",49.1778683,-123.1255409,BC
Osteria Savio Volpe,45,4.2,421,Italian,vancouver,BC,"615 Kingsway Vancouver, BC V5T 3K5 Canada",49.2574425,-123.0909434,BC
Nook,25,3.9,163,Italian,vancouver,BC,"1525 Yew Street Vancouver, BC V6K 3E4 Canada",49.2722315,-123.155229,BC
Brix & Mortar,45,4.0,318,Wine Bars,vancouver,BC,"1137 Hamilton Street Vancouver, BC V6B 5P6 Canada",49.2756123,-123.1219105,BC
Les Faux Bourgeois,25,4.0,452,French,vancouver,BC,"663 E 15th Avenue Vancouver, BC V5T 2R6 Canada",49.2573233,-123.0896351,BC
Mandarin Hong Kong Cafe,25,3.3,49,Asian Fusion,vancouver,BC,"904 W King Edward Avenue Vancouver, BC V5Z 2E2 Canada",49.248413,-123.1251604,BC
Sopra Sotto,25,4.0,139,Pizza,vancouver,BC,"1510 Commercial Drive Vancouver, BC V5L 2Y7 Canada",49.2711706,-123.0693309,BC
Kissa Tanto,50,4.1,279,Japanese,vancouver,BC,"263 E Pender Street Vancouver, BC V6A 1T8 Canada",49.2806222,-123.09812,BC
PiDGiN,45,4.0,320,Japanese,vancouver,BC,"350 Carrall Street Vancouver, BC V6B 2J3 Canada",49.281881,-123.104145,BC
Sura Korean Cuisine,25,4.1,428,Korean,vancouver,BC,"1518 Robson Street Vancouver, BC V6G 1C3 Canada",49.2888512,-123.1316371,BC
Sura Korean Cuisine,25,4.1,428,Korean,vancouver,BC,"1696 Douglas Street Victoria, BC V8W 2G6 Canada",48.4292923,-123.3647259,BC
Bali Thai,10,4.5,91,Indonesian,vancouver,BC,"88 W Pender Street Vancouver, BC V6B 1R3 Canada",49.2804064,-123.1069714,BC
Damso Modern Korean Cuisine,25,3.9,203,Korean,vancouver,BC,"867 Denman Street Vancouver, BC V6G 2L9 Canada",49.2906636,-123.1370287,BC
The Locus,25,3.9,266,Lounges,vancouver,BC,"4121 Main Street Vancouver, BC V5V 3P6 Canada",49.2485106,-123.1014125,BC
Thierry,25,4.0,942,Patisserie/Cake Shop,vancouver,BC,"1059 Alberni Street Vancouver, BC V6E 1A1 Canada",49.2848256,-123.1226896,BC
Honey Salt,25,3.5,266,Canadian (New),vancouver,BC,"39 Smithe Street Vancouver, BC V6B 0R3 Canada",49.27559,-123.11327,BC
Little Bird Dim Sum,25,3.9,71,Dim Sum,vancouver,BC,"2958 W 4th Avenue Vancouver, BC V6K 1R4 Canada",49.2683086,-123.1715733,BC
ARC Restaurant,45,4.0,167,Canadian (New),vancouver,BC,"900 Canada Place Way Vancouver, BC V6C 3L5 Canada",49.2871683,-123.113853,BC
Cafe FortyOne,25,4.5,21,Mediterranean,vancouver,BC,"5750 Oak Street Vancouver, BC V6M 2V9 Canada",49.2337184,-123.1277463,BC
Cuchillo,25,4.2,287,Latin American,vancouver,BC,"261 Powell Street Vancouver, BC V6A 2Z1 Canada",49.2834276,-123.0981059,BC
Jamjar - Folk Lebanese Food,25,3.8,257,Lebanese,vancouver,BC,"2280 Commercial Drive Vancouver, BC V5N 4B6 Canada",49.2643801,-123.0693684,BC
Robba da Matti,45,4.2,491,Italian,vancouver,BC,"1127 Mainland Street Vancouver, BC V6B 5P2 Canada",49.2754667,-123.1213319,BC
La Mezcaleria,25,3.8,292,Mexican,vancouver,BC,"1622 Commercial Drive Vancouver, BC V5L 3Y4 Canada",49.2700977,-123.0692773,BC
Absinthe Bistro,45,4.6,137,French,vancouver,BC,"952 Commercial Drive Vancouver, BC V5L 3W7 Canada",49.2759796,-123.0693281,BC
Ramen Danbo,25,4.2,413,Ramen,vancouver,BC,"1333 Robson Street Vancouver, BC V6E 2B1 Canada",49.2875039,-123.1289419,BC
Ramen Danbo,25,4.2,413,Ramen,vancouver,BC,"1833 W 4th Avenue Vancouver, BC V6J 1M4 Canada",49.2682648,-123.1464325,BC
Guu Original Thurlow,25,4.1,789,Japanese,vancouver,BC,"838 Thurlow Street Vancouver, BC V6E 1W2 Canada",49.2840086,-123.1254349,BC
Jules French Bistro,25,3.9,227,French,vancouver,BC,"216 Abbott Street Vancouver, BC V6B 2K8 Canada",49.2834427,-123.1064141,BC
Joong Won,25,3.9,75,Korean,vancouver,BC,"1329 Robson Street Vancouver, BC V6E 1C6 Canada",49.2874243,-123.1288342,BC
A.Bento,25,4.0,26,Taiwanese,vancouver,BC,"656W Broadway Vancouver, BC V5Z 1G1 Canada",49.2632553,-123.1177614,BC
Lamajoun,10,4.7,93,Mediterranean,vancouver,BC,"128-11782 River Road Richmond, BC V6X 1Z7 Canada",49.1961824,-123.0951555,BC
Harambe Restaurant,25,3.8,135,Ethiopian,vancouver,BC,"2149 Commercial Drive Vancouver, BC V5N 4B3 Canada",49.2655668,-123.0699715,BC
The Roof,45,3.8,80,Seafood,vancouver,BC,"1032 Alberni Street Vancouver, BC V6Z 1X6 Canada",49.2844811,-123.1230538,BC
Tetsu Sushi Bar,50,4.3,102,Japanese,vancouver,BC,"775 Denman Street Vancouver, BC V6G 2L6 Canada",49.2918512,-123.1352333,BC
Maizal RMF,25,4.3,145,Mexican,vancouver,BC,"2815 Main Street Vancouver, BC V5T 3G1 Canada",49.259987,-123.1013715,BC
Sawasdee Thai Restaurant,25,4.0,334,Thai,vancouver,BC,"4250 Main Street Vancouver, BC V5V 3P9 Canada",49.2470563,-123.1008276,BC
Do Chay,25,4.4,157,Vietnamese,vancouver,BC,"1392 Kingsway Vancouver, BC V5V 3E4 Canada",49.2500606,-123.0765209,BC
MeeT in Gastown,25,4.1,491,Comfort Food,vancouver,BC,"12 Water Street Vancouver, BC V6B 1A5 Canada",49.2834986,-123.1048174,BC
The Vancouver Fish Company,45,3.6,258,Seafood,vancouver,BC,"1517 Anderson St Vancouver, BC V6H Canada",49.2705997,-123.1365764,BC
JOEY Burrard,25,4.1,554,Canadian (New),vancouver,BC,"820 Burrard St Vancouver, BC V6Z 1X9 Canada",49.282606,-123.1231879,BC
Marché Mon Pitou,25,4.3,36,Cafes,vancouver,BC,"1387 W 7th Avenue Vancouver, BC V6H 1B8 Canada",49.2654363,-123.135785,BC
Ash Street Bistro,25,4.5,11,Bistros,vancouver,BC,"Legacy Senior Living 611 W 41st Avenue Vancouver, BC V5Z Canada",49.2337906,-123.1182802,BC
Hawksworth Restaurant,45,4.1,642,Canadian (New),vancouver,BC,"801 W Georgia Street Vancouver, BC V6C 1P7 Canada",49.2834361,-123.1192058,BC
Five Sails Restaurant,50,4.4,179,French,vancouver,BC,"401-999 Canada Place Vancouver, BC V6C 3E1 Canada",49.2877204,-123.113231,BC
Gyu-Kaku Japanese BBQ,25,4.0,390,Japanese,vancouver,BC,"G3-888 Nelson Street Vancouver, BC V6Z 2H1 Canada",49.2800583,-123.1252306,BC
Black Frog Eatery,25,3.8,214,Pubs,vancouver,BC,"108 Cambie Street Vancouver, BC V6B 2M8 Canada",49.2845497,-123.1085711,BC
Browns Crafthouse Seymour,25,4.0,44,Beer Bar,vancouver,BC,"580 West Pender Downtown Vancouver, BC V6B 1W7 Canada",49.2837737,-123.113725,BC
Fat Mao Noodles,25,3.9,228,Asian Fusion,vancouver,BC,"938 Helmcken Street Vancouver, BC V6Z 2S5 Canada",49.2799016,-123.1272458,BC
Fat Mao Noodles,25,3.9,228,Asian Fusion,vancouver,BC,"217 E Georgia Street Vancouver, BC V6A 1Z6 Canada",49.2787559,-123.0989242,BC
Kin Kao Thai Kitchen,25,4.0,161,Thai,vancouver,BC,"903 Commercial Drive Vancouver, BC V5L Canada",49.2763842,-123.0698044,BC
Caveman Cafe,25,4.4,271,Organic Stores,vancouver,BC,"88 W Pender Street Unit 1005 Vancouver, BC V6B 6N8 Canada",49.2804064,-123.1069714,BC
Los Amigos Taqueria,25,4.0,121,Mexican,vancouver,BC,"1118 Davie Street Vancouver, BC V6E 1N1 Canada",49.2805803,-123.1319161,BC
Salade de Fruits Cafe,25,4.2,175,French,vancouver,BC,"1551 West 7th Avenue Vancouver, BC V6J 1S1 Canada",49.2655967,-123.1400538,BC
Green Leaf Sushi,25,4.0,394,Sushi Bars,vancouver,BC,"3416 W Broadway Vancouver, BC V6R 2B3 Canada",49.2641219,-123.180152,BC
Grub,25,4.2,181,Italian,vancouver,BC,"4328 Main Street Vancouver, BC V5V 3P9 Canada",49.2464485,-123.1010277,BC
Kozak Ukraïnian Eatery,25,4.4,30,Ukrainian,vancouver,BC,"1 W Cordova Street Vancouver, BC V6C 3N8 Canada",49.2827218,-123.1046125,BC
Indian Delicacy,25,4.5,105,Indian,vancouver,BC,"1130 West pender st Vancouver, BC V6E 4A4 Canada",49.2874837,-123.1216012,BC
Cactus Club Cafe,25,4.1,475,Canadian (New),vancouver,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada",49.2894022,-123.1180433,BC
Cactus Club Cafe,25,4.1,475,Canadian (New),vancouver,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada",48.424893,-123.364927,BC
Peaked Pies,25,4.4,196,Australian,vancouver,BC,"975 Denman Street Vancouver, BC V6G Canada",49.2897,-123.1384318,BC
La Taqueria Pinche Taco Shop,25,4.2,681,Mexican,vancouver,BC,"322 W Hastings Street Vancouver, BC V8B 1K6 Canada",49.2829621,-123.1105621,BC
Little Jumbo,45,4.4,275,Canadian (New),victoria,BC,"506 Fort Street Suite 102 Victoria, BC V8W 1E6 Canada",48.42527,-123.36928,BC
Red Fish Blue Fish,25,4.5,1300,Fish & Chips,victoria,BC,"1006 Wharf Street Victoria, BC V8W 1T4 Canada",48.4243421,-123.3705879,BC
Nubo Japanese Tapas,25,4.4,395,Sushi Bars,victoria,BC,"739 Pandora Avenue Victoria, BC V8W 1N9 Canada",48.4276915,-123.3634927,BC
Il Terrazzo Ristorante,45,4.5,614,Italian,victoria,BC,"555 Johnson Street Victoria, BC V8W 1M2 Canada",48.4274056,-123.36944,BC
Ithaka Greek Restaurant,25,4.5,144,Greek,victoria,BC,"716 Burdett Avenue Victoria, BC V8W 3G2 Canada",48.4223019,-123.3648329,BC
Bodega,25,4.5,133,Tapas/Small Plates,victoria,BC,"1210 Broad Street Victoria, BC V8W 2A4 Canada",48.4259598,-123.3667139,BC
Fishhook,25,4.5,309,Seafood,victoria,BC,"805 Fort Street Victoria, BC V8W 1H6 Canada",48.4241523,-123.3621483,BC
Blue Fox Cafe,25,4.4,817,Breakfast & Brunch,victoria,BC,"919 Fort Street Suite 101 Victoria, BC V8V 3K3 Canada",48.42365,-123.35877,BC
Foo,25,4.0,174,Asian Fusion,victoria,BC,"769 Yates Street Victoria, BC V8W 1L6 Canada",48.4256723,-123.3625316,BC
Little Yunnan Restaurant,25,4.5,130,Asian Fusion,victoria,BC,"546 Fisgard St Victoria, BC V8W 1R4 Canada",48.4294829,-123.3678964,BC
10 Acres Bistro,25,3.9,502,Brasseries,victoria,BC,"611 Courtney Street Victoria, BC V8W 1B7 Canada",48.423293,-123.367614,BC
Nautical Nellies Steak & Seafood House,25,3.9,389,Seafood,victoria,BC,"1001 Wharf Street Victoria, BC V8W 1T6 Canada",48.4245047,-123.3693897,BC
Chimac Korean Pub & Fried Chicken,25,4.3,66,Korean,victoria,BC,"512 Yates Street Victoria, BC V8W 2Z6 Canada",48.4270939,-123.3698779,BC
Nourish In The Harbour,25,4.4,197,Breakfast & Brunch,victoria,BC,"225 Quebec Street Victoria, BC V8V 1W2 Canada",48.4216723,-123.3768092,BC
Bao,25,4.1,137,Asian Fusion,victoria,BC,"626 Fisgard Street Victoria, BC V8W 1R6 Canada",48.4295004,-123.365947,BC
Hanks A Restaurant,25,4.5,95,Canadian (New),victoria,BC,"1001 Douglas Street Unit G2A Victoria, BC V8W 2C5 Canada",48.4239193,-123.3653111,BC
Jam Cafe,25,4.5,652,Breakfast & Brunch,victoria,BC,"542 Herald Street Victoria, BC V8W 1S5 Canada",48.4303785,-123.3677163,BC
Superbaba,25,4.5,55,Middle Eastern,victoria,BC,"1325 Blanshard Street Victoria, BC V8W 0B5 Canada",48.4266911,-123.3615715,BC
Chorizo & Co,10,4.4,82,Spanish,victoria,BC,"807 Fort Street Victoria, BC V8W 1H6 Canada",48.4241398,-123.3620667,BC
Aura Waterfront Restaurant + Patio,25,4.0,119,Seafood,victoria,BC,"680 Montreal Street Victoria, BC V8V 1Z8 Canada",48.4235302,-123.3766889,BC
10 Acres Commons,25,3.7,136,Seafood,victoria,BC,"620 Humboldt Street Victoria, BC V8W 1A4 Canada",48.4228855,-123.3678035,BC
The Fish Store,25,4.2,181,Seafood Markets,victoria,BC,"1 Dallas Road Victoria, BC V8V 0B2 Canada",48.423,-123.38349,BC
The Cozy Place Restaurant,25,4.4,111,Chinese,victoria,BC,"1692 Douglas Street Victoria, BC V8W 2G6 Canada",48.4292309,-123.364691,BC
Uchida Eatery / Shokudo,25,4.6,58,Japanese,victoria,BC,"633 Courtney Street Suite 22 Victoria, BC V8W 1B9 Canada",48.42284,-123.36645,BC
Q at The Empress,45,3.9,107,Seafood,victoria,BC,"721 Government St Victoria, BC V8W 1W5 Canada",48.4222401,-123.3680585,BC
BeaverTails,10,4.5,61,Desserts,victoria,BC,"602 Broughton Street Victoria, BC V8W 1C7 Canada",48.4243334,-123.367646,BC
Fiamo,25,3.9,133,Italian,victoria,BC,"515 Yates Street Victoria, BC V8W 1K7 Canada",48.4266982,-123.3697847,BC
Virtuous Pie,25,4.7,32,Pizza,victoria,BC,"530 Pandora Avenue Victoria, BC V8W 1N6 Canada",48.4286181,-123.3684944,BC
Breakwater,25,3.5,66,Cafes,victoria,BC,"199 Dallas Road Victoria, BC V8V 1A2 Canada",48.4154371,-123.3846996,BC
Bear & Joey Cafe,25,4.4,21,Cafes,victoria,BC,"1025 Cook St Victoria, BC V8V 3Z7 Canada",48.4230104,-123.3539516,BC
Blue Crab Seafood House,45,3.8,149,Seafood,victoria,BC,"146 Kingston Street Victoria, BC V8V 1V4 Canada",48.422146,-123.3795799,BC
Bar 500 Eatery,25,4.1,18,Tapas/Small Plates,victoria,BC,"500 Oswego Street Victoria, BC V8V 5C1 Canada",48.4207314,-123.3759507,BC
Sookjai Thai Restaurant,25,4.1,41,Thai,victoria,BC,"893 Fort Street Victoria, BC V8W 1H7 Canada",48.4239609,-123.360217,BC
Sushi Matsuri,25,4.5,32,Sushi Bars,victoria,BC,"239 Menzies Street Victoria, BC V8V 2G6 Canada",48.4163231,-123.3730101,BC
Tacofino,25,4.1,116,Mexican,victoria,BC,"760 Pandora Avenue Victoria, BC V8W 1N9 Canada",48.4280293,-123.3628808,BC
Cactus Club Cafe,25,4.0,116,Canadian (New),victoria,BC,"1085 Canada Place Vancouver, BC V6C 3E1 Canada",49.2894022,-123.1180433,BC
Cactus Club Cafe,25,4.0,116,Canadian (New),victoria,BC,"1125 Douglas Street Victoria, BC V8W 3L7 Canada",48.424893,-123.364927,BC
Yalla Middle Eastern Cuisine,10,4.5,40,Food Stands,victoria,BC,"1011 Blanshard Street Victoria, BC V8W 2X9 Canada",48.4238548,-123.3622815,BC
The Ruby,25,4.2,57,Breakfast & Brunch,victoria,BC,"642 Johnson St Victoria, BC V8W 1M6 Canada",48.4275172,-123.3656961,BC
The Ruby,25,4.2,57,Breakfast & Brunch,victoria,BC,"3110 Douglas Street Victoria, BC V8Z 3K4 Canada",48.4460473,-123.3717578,BC
