Province,Category,Restaurant_Name,Total,Sentiment
AB,Indian,Indian BBQ and Grill,0.96,Good
AB,Indian,Indian Flame & Pizza,0.20,Bed
AB,Indian,Kathmandu rasoi Ltd,0.86,Good
AB,Indian,Kingdom of Spices,0.91,Good
AB,Indian,Masala Bhavan Indian Restaurant,0.56,Good
AB,Indian,Masala Tree,0.80,Good
AB,Indian,Mudpot Restaurant,0.86,Good
AB,Indian,New Everest Indian Multi Kitchen & Bar,0.95,Good
AB,Indian,New Gurkha Indian Restaurant & Bar,0.96,Good
AB,Indian,Nosh Cafe (North),0.76,Good
AB,Indian,Om Cuisine of India,0.94,Good
AB,Indian,Raja Foods,0.65,Good
AB,Indian,Remedy Cafe (Whyte Ave),0.82,Good
AB,Indian,Rivaaz Indian Pizza & Cuisine,0.87,Good
AB,Indian,Royal Sweets & Restaurant,0.36,Bed
AB,Indian,Tandoor n' Flame Restaurant & Sweets,0.55,Good
AB,Indian,Taste Blends,0.87,Good
AB,Indian,TasteBuds Hyderabadi Indian Fusion,0.98,Good
AB,Indian,Tasty Indian Restaurant & Meat Shop,0.65,Good
AB,Indian,Y-Not Indian Bar & Bistro,0.84,Good
AB,Italian,Saro's Restaurant,0.51,Good
AB,Italian,Via Cibo (Lethbridge),0.83,Good
AB,Japanese,Edo Japan -  Aviation Crossing,-0.56,Bed
AB,Japanese,Edo Japan -  Park Place Mall,0.89,Good
AB,Japanese,Lighthouse Japanese Restaurant,0.85,Good
AB,Japanese,Makisu Sushi Lethbridge,0.40,Bed
AB,Japanese,Mikado Restaurant (Westside),0.57,Good
AB,Japanese,Nori Bento & Udon Park Place,0.86,Good
AB,Japanese,Pink Bow Restaurant,0.96,Good
AB,Korean,Chicko Chicken Edmonton (southgate),0.96,Good
AB,Korean,Foodie Bros,0.98,Good
AB,Korean,Seoul Fried Chicken (Whyte Ave),0.80,Good
AB,Korean,Urban Plant Cafe,0.94,Good
AB,Mediterranean,King Donair Chicken Shawarma Mediterranean Food,0.87,Good
AB,Mediterranean,Osmow's (4501 17 Ave SE),0.87,Good
AB,Mexican,BarBurrito: Alberta: Red Deer Clearview,0.71,Good
AB,Mexican,BarBurrito: Calgary: Sunridge,0.38,Bed
AB,Mexican,Mucho Burrito (69 Dunlop St #6),0.37,Bed
AB,Mexican,Quesada Burritos and Tacos (University Dr),0.24,Bed
AB,Mexican,Smokin' Barrels Cocina Latina,0.75,Good
AB,Mexican,Taco Del Mar,0.81,Good
AB,Pizza,Actually Pretty Good (Bankview),0.80,Good
AB,Pizza,Cal City Pizza,0.95,Good
AB,Pizza,Canadian Pizza Unlimited (9650 Harvest Hills),0.64,Good
AB,Pizza,Canadian Pizza Unlimited (Clearview),0.87,Good
AB,Pizza,Cosmic Pizza & Donair (Crowchild),0.83,Good
AB,Pizza,Cosmic Pizza & Donair (Red Deer),0.56,Good
AB,Pizza,Cosmic Pizza and Donair (Downtown),0.48,Bed
AB,Pizza,Freshslice Pizza,0.88,Good
AB,Pizza,Little Caesars (5111 22nd Street) - Red Deer,0.23,Bed
AB,Pizza,Little Caesars (6791 50th Ave) - Red Deer,-0.39,Bed
AB,Pizza,Papa John's (3701 50Th Av #1),0.93,Good
AB,Pizza,Papa John's Pizza (Lethbridge),0.51,Good
AB,Pizza,Pegasus 2 for 1 Pizza,0.38,Bed
AB,Pizza,Pizza 73 (417 - 21A St N),0.30,Bed
AB,Pizza,Pizza 73 (4912-43 Street),0.67,Good
AB,Pizza,Pizza Hut (1358 Mayor Magrath Drive South),-0.21,Bed
AB,Pizza,Pizza King and Donair,0.88,Good
AB,Pizza,Pizza Unlimited & Fried Chicken,0.55,Good
AB,Pizza,Red Swan Pizza (Lethbridge),0.86,Good
AB,Pizza,Red Swan Pizza (Red Deer - North),0.78,Good
AB,Pizza,Rosso Pizzeria,0.96,Good
AB,Pizza,The Mash - Kensington,0.51,Good
AB,Pizza,Wasim’s Donair & Pizza,0.46,Bed
AB,Pizza,Western Pizza,0.25,Bed
AB,Retail,Mastermind Toys (Lethbridge),0.87,Good
AB,Salads,Dedicate Healthy Kitchen,0.93,Good
AB,Sandwich,Mr. Sub (Forest Lawn),0.53,Good
AB,Sandwiches,Quiznos (50th Ave & 60th St),0.57,Good
AB,South East Asian,Adobo Experience,0.08,Bed
AB,South East Asian,Chopstix Filipino Restaurant - Macleod SW,0.53,Good
AB,Steak,Montana's (Red Deer),0.91,Good
AB,Sushi,Fusion Sushi 17,0.87,Good
AB,Sushi,Soban Sushi & Asian Taste,0.92,Good
AB,Sushi,Tokyo Express (Oliver Square),0.60,Good
AB,Thai,Siam Thai Kitchen,0.95,Good
AB,Vegetarian,Padmanadi  (Southside),0.91,Good
AB,Vietnamese,Lemongrass Cafe,0.63,Good
AB,Vietnamese,Pho Express,0.31,Bed
AB,Vietnamese,Pho Hoan Pasteur (Edmonton),0.62,Good
AB,Vietnamese,Pho Hoan Pasteur (West Link),0.92,Good
AB,Vietnamese,Pho HouZ Vietnamese Kitchen,0.92,Good
AB,Wings,7-Eleven (3803 40 Ave),0.61,Good
AB,Wings,7-Eleven (680 Columbia Blvd W),0.10,Bed
BC,African,Blue Nile African Restaurant,0.58,Good
BC,African,Harambe Restaurant,0.55,Good
BC,Alcohol,Bird Liquor Store,0.84,Good
BC,American,Dairy Queen (2205 Sooke Road),0.42,Bed
BC,American,JAPADOG (McArthur Glen Outlet Mall),0.82,Good
BC,American,Morning People Food Truck,0.89,Good
BC,American,New York Fries (Mayfair Shopping Centre),0.20,Bed
BC,American,Subway (Granville),0.11,Bed
BC,American,White Spot (Langford),0.66,Good
BC,Asian,Bubble World (Vancouver - Robson),0.89,Good
BC,Asian,Milk & Sugar Cafe,0.63,Good
BC,Asian,Ono Poké,0.82,Good
BC,Asian,Sunflower Bubble Tea,0.32,Bed
BC,Asian,The Tropical Island Restaurant,0.93,Good
BC,Asian fusion,Noodle Box (Uptown Blvd),0.42,Bed
BC,Asian fusion,The First Dessert,0.42,Bed
BC,Bakery,7-Eleven (710 W 6th Ave),0.05,Bed
BC,Bakery,Tim Hortons (195 Terminal Avenue ),0.08,Bed
BC,BBQ,Montana's (Victoria),0.94,Good
BC,Bowls,Freshii (1000 Douglas St),0.27,Bed
BC,Bubble Tea,Sharetea (Kingsway),0.91,Good
BC,Burgers,McDonald's (Victoria-H),0.18,Bed
BC,Chinese,Beijing Bistro,0.52,Good
BC,Chinese,BT Cafe 大拇指餐廳,0.87,Good
BC,Chinese,ChongQing Restaurant (Commercial Dr),0.85,Good
BC,Chinese,Dinesty Dumpling House (Burnaby),0.84,Good
BC,Chinese,Golden City Restaurant,0.77,Good
BC,Chinese,Momi Noodle House,0.94,Good
BC,Chinese,Neptune Chinese Kitchen-Wesbrook,0.34,Bed
BC,Chinese,Sun Bo Kong Vegetarian Restaurant 新宝光素食,0.93,Good
BC,Chinese,Szechuan Restaurant,0.65,Good
BC,Coffee & tea,Flourish BeauTea,0.93,Good
BC,Coffee & tea,Trees Organic Coffee (Burrard),0.78,Good
BC,Comfort food,Fork'n Pork,0.47,Bed
BC,Desserts,Breka Bakery & Café (Davie),0.89,Good
BC,Desserts,Snowy Village Victoria,0.95,Good
BC,Everyday Essentials,On the Run 43050 | 704 Goldstream Ave,0.94,Good
BC,Fast food,A&W (467 West Broadway),0.09,Bed
BC,Healthy,Capones Chicken,0.29,Bed
BC,Ice cream & frozen yogurt,Virtuous Pie (Main St),0.33,Bed
BC,Indian,Baba Sweets & Restaurant - Burnaby,0.62,Good
BC,Indian,Beeryani Indian Bistro and Bar,0.88,Good
BC,Indian,Curry Club,0.46,Bed
BC,Indian,Dhaliwal Sweet & Restaurant,0.96,Good
BC,Indian,Five Spice Indian Cuisine,0.48,Bed
BC,Indian,Fresh Tandoori Flavour Indian Bistro Oak Bay,0.95,Good
BC,Indian,Indian Delicacy,0.83,Good
BC,Indian,Modern Handi Indian Cuisine,0.82,Good
BC,Indian,NAMASTE INDIAN CUISINE,0.46,Bed
BC,Indian,The Tikka Bar,0.53,Good
BC,Indian,Varsha Indian Kitchen,0.92,Good
BC,Japanese,Futaba,0.11,Bed
BC,Japanese,Ginger Sushi,0.94,Good
BC,Japanese,Ohana Sushi,0.72,Good
BC,Japanese,Omakase,0.92,Good
BC,Japanese,Shizenya Restaurant on Broadway,0.92,Good
BC,Japanese,Sushi Ville,0.74,Good
BC,Japanese,The Poke Lounge,0.96,Good
BC,Juice & Smoothies,Body Energy Club (Coal Harbour),0.97,Good
BC,Korean,Damso (Denman),0.62,Good
BC,Mediterranean,YUMMY TRUCK,0.57,Good
BC,Mexican,Tacofino Kitsilano,0.83,Good
BC,Pasta,Pagliacci’s,0.86,Good
BC,Pizza,Burrata Pizzeria,0.84,Good
BC,Pizza,COBS bread - Commercial Drive,0.91,Good
BC,Pizza,Famoso Neapolitan Pizzeria (Market Square),0.43,Bed
BC,Pizza,Il Greco Restaurant,0.79,Good
BC,Pizza,Little Caesars (Hillside Avenue),0.01,Bed
BC,Pizza,Local Pizza - Victoria,0.91,Good
BC,Pizza,Pizzeria Farina,0.82,Good
BC,Pizza,Pizzeria Ludica Vancouver,0.94,Good
BC,Pizza,Sarpino's Pizzeria (Downtown Victoria),0.53,Good
BC,Pizza,The Joint Pizzeria,0.89,Good
BC,Salads,Tractor Foods (Victoria),0.94,Good
BC,Sandwich,Rise and Grind,0.95,Good
BC,Seafood,Island Poke,0.91,Good
BC,South Indian,Davie Dosa Company,0.75,Good
BC,Steak,Nautical Nellies Steak & Seafood House,0.95,Good
BC,Sushi,erito sushi,0.51,Good
BC,Sushi,Simply sushi bar,0.89,Good
BC,Sushi,Sushi Bros,0.94,Good
BC,Sushi,Tom Sushi,0.94,Good
BC,Sushi,Uma Sushi,0.89,Good
BC,Thai,Zab Zaab Thai Cuisine,0.94,Good
BC,Vietnamese,Delicious Pho (Robson),0.88,Good
BC,Vietnamese,Pho Tru (Blanshard St),0.90,Good
BC,Vietnamese,Pho Wisdom,0.75,Good
BC,Vietnamese,Phonomenal Vietnamese Cafe,0.57,Good
BC,Vietnamese,Vietnam Garden Restaurant,0.83,Good
BC,Wings,7-Eleven (813 Douglas St),0.92,Good
BC,Wings,Freshslice Pizza (6374 Fraser Street),0.75,Good
BC,Wings,Hecklers Bar & Grill,0.90,Good
MB,African,Atiga Restaurant,0.57,Good
MB,African,Jollof Life Restaurant,0.89,Good
MB,Alcohol,Calabria Market & Wine Store,0.65,Good
MB,Alcohol,Kenaston Wine Market,0.83,Good
MB,Alcohol,The Pourium,0.88,Good
MB,Alcohol,Woodbine Hotel Bar & Vendor,0.78,Good
MB,American,Burger King (1033 Notre Dame Ave),0.43,Bed
MB,American,Double D's Cheesecake & Coffee House,0.66,Good
MB,American,IHOP (455 Sterling Lyon Parkway),0.44,Bed
MB,American,KFC (750 Sherbrook Street),0.14,Bed
MB,American,Subway (247 Kennedy St),0.07,Bed
MB,Bakery,Munch It Pastry Shop,0.57,Good
MB,Bakery,Tim Hortons (646 Archibald Street),0.38,Bed
MB,Bowls,Freshii (2-1194 Taylor Ave),0.02,Bed
MB,Breakfast and brunch,Cora Breakfast and Lunch (840 Waverley St.),0.65,Good
MB,Breakfast and brunch,Denny's Canada (1750 Sargent Ave),0.92,Good
MB,Breakfast and brunch,Mar's Sisig - Jefferson,0.41,Bed
MB,Breakfast and brunch,OEB Breakfast Co. (Winnipeg),0.88,Good
MB,Breakfast and brunch,RnR Family Restaurant (1615 Regent Ave W),0.82,Good
MB,Bubble Tea,Panda Tea (Pembina),0.61,Good
MB,Bubble Tea,VJoy Beverage and Dessert Restaurant,0.81,Good
MB,Burgers,McDonald's (City Place),0.18,Bed
MB,Burritos,Taco Bell (750 Sherbrook St),0.33,Bed
MB,Coffee & tea,Más Coffee,0.97,Good
MB,Coffee & tea,Robin's (250 York Ave),0.60,Good
MB,Comfort food,Marcello's Market and Deli,0.73,Good
MB,Comfort food,Oscar's Deli,0.23,Bed
MB,Fast food,A&W (PC Pembina Hwy),0.57,Good
MB,Fast food,Wendy's (1420 Mc Phillips St.),0.77,Good
MB,Filipino,Casa Ilocandia,0.73,Good
MB,Indian,Royal Punjabi restaurant,0.43,Bed
MB,Indian,The Farmer's Cuisine,0.47,Bed
MB,Juice & Smoothies,Ben & Florentine - Polo Park,0.91,Good
MB,Pizza,Knight & Day Pizza (870 Main St),0.46,Bed
MB,Ramen,Dwarf no Cachette Café,0.82,Good
MB,Sandwich,A&W (54-333 St. Mary Ave.),0.58,Good
MB,Sandwich,Mr. Sub (2305 McPhillips Street),0.51,Good
MB,Sandwiches,Pita Pit (640 Sterling Lyon Parkway),0.25,Bed
MB,Sandwiches,Quiznos (Kenaston),0.73,Good
MB,South East Asian,Grill City (Winnipeg),0.27,Bed
MB,South East Asian,Mama Nors Kitchen,0.58,Good
MB,Thai,Thai Express (1225 St Mary's Rd #FC2),0.15,Bed
NS,African,Efty Dishes Restaurant,0.76,Good
NS,American,11584 Burger King (6049 Young Street),0.24,Bed
NS,American,Bedford Basin Farmers Market,0.98,Good
NS,American,Subway (3045 Robie St),-0.03,Bed
NS,American,The Cake Factory (Spring Garden),0.87,Good
NS,Bakery,Tim Horton's (7010 Mumford Road Building B4),-0.09,Bed
NS,Breakfast and brunch,Cora Breakfast and Lunch (277 Lacewood Drive),0.25,Bed
NS,Breakfast and brunch,Kempster's Cookhouse & Eatery,0.57,Good
NS,Breakfast and brunch,Laurent French Bakery,0.96,Good
NS,Breakfast and brunch,Omelet Brunch & Munch,0.96,Good
NS,Breakfast and brunch,Pür & Simple (Halifax),0.84,Good
NS,Bubble Tea,ZenQ (Halifax),0.25,Bed
NS,Burgers,FIVE GUYS ARGYLE (NS-1915),0.85,Good
NS,Burgers,McDonald's (Kempt),0.31,Bed
NS,Chicken Strips,Pizza Pizza (1565 Argyle St.),0.91,Good
NS,Chinese,Fong Sing Restaurant,0.71,Good
NS,Chinese,May Garden (Dartmouth),-0.20,Bed
NS,Coffee & tea,Cabin Coffee,0.96,Good
NS,Comfort food,Red Chillies Flavours of India,0.35,Bed
NS,Convenience,Fairview Variety Quik-Way,0.93,Good
NS,Desserts,Cacao 70 (Halifax),0.80,Good
NS,Desserts,Fortune Doughnut,0.09,Bed
NS,European,Efes Turkish Cuisine,0.86,Good
NS,Fast food,A&W (68 Hogan Court),0.84,Good
NS,Fast food,Wendy's (3580 Kempt Road),0.87,Good
NS,Greek,Cousin's Restaurant,0.42,Bed
NS,Healthy,Healthyway Cafe,0.33,Bed
NS,Indian,Beyond Temptation,0.80,Good
NS,Indian,Makhani Indian Restaurant,0.52,Good
NS,Italian,Boston Pizza (Downtown Halifax),0.74,Good
NS,Mexican,BarBurrito: Nova Scotia: Cole Harbour,0.83,Good
NS,Pizza,Greco Pizza (Hammonds Plains),0.23,Bed
NS,Sandwich,The Nook,0.96,Good
NS,Sandwiches,Julienne's Restaurant and Catering,0.69,Good
NS,Seafood,Bluenose II Restaurant,0.82,Good
NS,Sushi,Happy Sushi Restaurant,0.84,Good
ON,African,Naija Foodeats,0.53,Good
ON,American,Burger King #12882 (199 Montreal Road),0.21,Bed
ON,American,Burger King #13322 (300 Tecumseh Road East),0.07,Bed
ON,American,Burger King #2065 (750 Lansdowne Street West),0.84,Good
ON,American,Burger King #2426 (210 Centennial Parkway North),0.69,Good
ON,American,Burger King #3056 (1295 Oxford Street East),0.50,Bed
ON,American,Burger King #3579 (660 Notre Dame Avenue),-0.11,Bed
ON,American,Burger King #4923 (809 Victoria St. North),0.23,Bed
ON,American,Burger King (724 Niagara Street),0.34,Bed
ON,American,Church's Texas Chicken (2700 Tecumseh Rd W),0.44,Bed
ON,American,Cuisine Tropicale,0.90,Good
ON,American,Culinary Dropout Fonthill,0.97,Good
ON,American,Cupcakes,0.92,Good
ON,American,Dairy Queen (1015 Golf Links Rd),0.48,Bed
ON,American,Dairy Queen (720 Proudfoot Lane),0.89,Good
ON,American,Denny's Canada (3700 Highbury Ave South),0.55,Good
ON,American,IHOP (7514 Lundy'S Lane),0.72,Good
ON,American,IHOP (Oxford St),0.06,Bed
ON,American,KFC (1020 Ottawa Street North),-0.31,Bed
ON,American,KFC (1341 Martindale Road),-0.24,Bed
ON,American,KFC (2013 Arthur Street East),0.18,Bed
ON,American,KFC (29 Warne Crescent),-0.20,Bed
ON,American,KFC (295 4th ave West),0.11,Bed
ON,American,KFC (3100 Howard Ave unit FCU1),0.10,Bed
ON,American,KFC (595 Lansdowne Avenue),-0.41,Bed
ON,American,Landmark Cinemas (St. Catharines),0.57,Good
ON,American,McDonald's (675 Upper James Street),0.17,Bed
ON,American,McDonald's (Kingston - 312 Princess),0.08,Bed
ON,American,MEDITERRANEAN BAKERY AND PIZZA,0.64,Good
ON,American,MrBeast Burger (1120 Victoria Street North),0.48,Bed
ON,American,New York Fries (Billings Bridge Plaza),0.57,Good
ON,American,Panera Bread (88 Dalton Avenue),0.56,Good
ON,American,Popeyes Louisana Kitchen (828 Chemong Road),-0.04,Bed
ON,American,Popeyes Louisiana Kitchen (Ottawa St),-0.02,Bed
ON,American,Red Lobster  (1600 LASALLE BLVD),0.54,Good
ON,American,Red Lobster  (870 LANSDOWNE STREET W.),0.84,Good
ON,American,Robin's (300 May Street S),0.63,Good
ON,American,Shoeless Joe's Sports Grill (Regent St),-0.10,Bed
ON,American,SilverCity Thunder Bay Cinemas,0.77,Good
ON,American,Springbank Minimart & Video Balloon Centre,0.85,Good
ON,American,"Subway (1072 Oliver Rd, 1)",-0.39,Bed
ON,American,Subway (13210 Lundy's Lane),0.93,Good
ON,American,Subway (33 University Ave),0.13,Bed
ON,American,Subway (355 Wellington St Unit 4),0.63,Good
ON,American,Subway (830 Upper James St),-0.11,Bed
ON,American,Subway (Ontario Street),-0.19,Bed
ON,American,Swiss Chalet  (879 Fort William Rd),0.47,Bed
ON,American,Swiss Chalet (Goodfellow Rd & Lansdowne Ave W),0.70,Good
ON,American,TAJ MAHAL KITCHEN & BAR,0.88,Good
ON,American,The Baker,0.94,Good
ON,American,The Brew Pub,0.80,Good
ON,American,The Harvest Table Restaurant,0.80,Good
ON,American,Trevi Bar & Grill,0.30,Bed
ON,American,WING HOUSE,0.92,Good
ON,Asian,Bao Sandwich Bar,0.67,Good
ON,Asian,BOBO TEA,0.79,Good
ON,Asian,Edo Japan -  Brentwood Village,0.92,Good
ON,Asian,Edo Japan -  College Square,0.89,Good
ON,Asian,Foodie Fruitie,0.81,Good
ON,Asian,MA Chinese Cuisine,0.96,Good
ON,Asian,Macao Imperial Tea (Thunder Bay),0.80,Good
ON,Asian,Minh Hang Sandwich Shop,0.96,Good
ON,Asian,Rose Apple Asian Cuisine,0.53,Good
ON,Asian fusion,Asia Fusion,0.68,Good
ON,Asian fusion,BIG TUNA ASIAN CUISINE,0.54,Good
ON,Asian fusion,Fishing Sushi,0.72,Good
ON,Asian fusion,Indo Hakka Corner,0.93,Good
ON,Bagels,Buzz Bagelz,0.95,Good
ON,Bakery,Aladdin Bakery (St Laurent & Donald),0.79,Good
ON,Bakery,Cinnabon (Oxford St),0.06,Bed
ON,Bakery,Cinnabon (Vansickle),-0.29,Bed
ON,Bakery,Cinnabon St Laurent,0.83,Good
ON,Bakery,COBS Bread (London North West),0.84,Good
ON,Bakery,COBS Bread (RioCan Centre Kingston),0.63,Good
ON,Bakery,Happiness Downtown,0.96,Good
ON,Bakery,Tim Hortons (1384 Wellington Rd),-0.17,Bed
ON,Bakery,Tim Hortons (2 Tremont Dr),0.04,Bed
ON,Bakery,Tim Hortons (390-398 Cumberland St North),0.47,Bed
ON,Bakery,Tim Horton's (80 John St),0.02,Bed
ON,Bakery,Tim Hortons (885 Notre Dame Street),0.08,Bed
ON,Bakery,Tim Horton's (945 Gardiners Rd-Cataraqui Twn Cntr),-0.36,Bed
ON,Bar / Pub Food,The fastlane bar and grill,0.29,Bed
ON,Bar / Pub Food,The Patio Lounge - Windsor,-0.56,Bed
ON,Bar food,Broadway Bar & Grill (Orleans),0.89,Good
ON,BBQ,Montana's (Thunder Bay),0.76,Good
ON,BBQ,Red Lion Smokehouse,0.80,Good
ON,Bowls,Freshii (Thunder Bay),0.36,Bed
ON,Breakfast & Brunch,Chatham Street Diner,0.95,Good
ON,Breakfast & Brunch,Family Circle Restaurant,0.75,Good
ON,Breakfast & Brunch,Peter's Place Restaurant,0.89,Good
ON,Breakfast & Brunch,STACKED Smoked meat,0.97,Good
ON,Breakfast & Brunch,Sunnyside Grill,0.50,Bed
ON,Breakfast & Brunch,The Knotty Pine Restaurant,0.44,Bed
ON,Breakfast and brunch,BEEBA BOYZ KITCHEN AND BAR,0.85,Good
ON,Breakfast and brunch,Burrito Bueno,0.91,Good
ON,Breakfast and brunch,Campus Hi-Fi,0.97,Good
ON,Breakfast and brunch,Chef Basel Cuisine,0.95,Good
ON,Breakfast and brunch,Coco Frutti (Kingston),0.91,Good
ON,Breakfast and brunch,Cora Breakfast and Lunch  (179 Rideau Street),0.54,Good
ON,Breakfast and brunch,Cora Breakfast and Lunch (1030 Adelaide St N Unit #8),0.89,Good
ON,Breakfast and brunch,Cora Breakfast and Lunch (1400 Upper James St. Unit # 10),0.62,Good
ON,Breakfast and brunch,Cora Breakfast and Lunch (4328 Walker Road),0.90,Good
ON,Breakfast and brunch,Cora Déjeuners et Diners  (St. Catharines),0.74,Good
ON,Breakfast and brunch,Denny's Canada (560 Centennial Parkway North),0.90,Good
ON,Breakfast and brunch,Denny's Canada (670 Gardiners Rd),0.95,Good
ON,Breakfast and brunch,E. T. Cafe,0.94,Good
ON,Breakfast and brunch,Gina's Grill,0.90,Good
ON,Breakfast and brunch,Mary's Place,0.85,Good
ON,Breakfast and brunch,Mylos Grill,-0.26,Bed
ON,Breakfast and brunch,Pür & Simple (Ancaster),0.93,Good
