Restaurant Name,Rating,Category,Address,,,
Red Maple Sushi,4.7,Sushi,"2732 Barton St E 7, Hamilton, Ontario L8E 4M6",,,
Indian Spice,3.9,Indian,"647 Upper James Street, Hamilton, ON L9C 2Y9",,,
Moghul Fine Indian Restaurant,4.6,Indian,"288 Mud Street West, Hamilton, L8J",,,
Tea Hut Bubble Tea Smoothies Juice & Snacks,4.6,Asian,"100 Main Street East #100, Hamilton, ON L8N 3W4",,,
Lotus Thai & Vietnamese Cuisine,4.6,Comfort food,"280 Mud Street West, Stoney Creek, ON L8J 3Z6",,,
Just Jollof,4.2,Nigerian,"92-94 Jackson Street East Hamilton, On L8n 3y6 Canada,",,,
Saigon House Restaurant ,4.8,Vietnamese,"27 John Street South, Hamilton, ON L8N",,,
Sweet Tooth ,4.3,Ice cream & frozen yogurt,"15 Cannon Street East, Hamilton, ON L8L 1Z6",,,
Sana Grill ,4.5,Mediterranean,"989 Fennell Ave E, Hamilton, ON L8T 1R1",,,
Royal Paan ,4.1,Indian,"30 Rymal Road East, Hamilton, ON L9B",,,
Lava Pizza & Wings,4.2,Pizza,"387 Barton St E , Unit 2, Hamilton, ON L8L 2Y2",,,
Industria Pizzeria + Bar ,4.4,Pizza,"1791 Stone Church Road East , Unit #1- Building 4, Stoney Creek, ON L8J",,,
Dim Sum House,4.7,Chinese,"173 King Street E, Hamilton, ON L8N 1B3",,,
The Burnt Tongue ,4.9,Comfort food,"182 Locke Street South, Hamilton, ON L8P 4B3",,,
Fishing Sushi,4.8,Asian fusion,"542 Concession Street, Hamilton, ON L8V 1A9",,,
South Garden Chinese Restaurant,4.5,Chinese,"1300 Garth St, Hamilton, NAMER L9C",,,
Popeyes Louisana Kitchen ,4.6,American,"930 Upper Paradise Rd, Hamilton, On L9B 2N1",,,
Fresh Healthy Cafe ,4.6,Healthy,"33 Brock St, Store, Kingston, NAMER K7L 1R7",,,
Food Basics ,4.2,Everyday Essentials,"33 Barrack St, Kingston, NAMER K7K 1E7",,,
McDonald's ,4.6,American,"312 Princess St, Kingston, ON K7L 1B6",,,
M&M Food Market ,0,Grocery,"277 Bath Road, Kingston, NAMER K7M2X6",,,
For Thirst and Hunger Beverage and Food Company,0,Canadian,"645 Gardiners Rd, 110, Kingston, ON K7M 8K2",,,
A&W ,4.6,Fast food,"328 King Street, Kingston, ON K7L 3B4",,,
Starbucks ,4.8,Bakery,"121 Division Street, Kingston, ON K7L 3M5",,,
Coffee and Company,5,Coffee & tea,"53 Princess Street, Kingston, ON K7K",,,
Tommy's,4.6,Burgers,"377 Princess St, Kingston, ON K7L",,,
The Grocery Basket,4.7,Sandwich,"260 Princess Street, Kingston, ON K7L",,,
The Store Famous,0,Comfort food,"406 Barrie Street, Kingston, ON K7K 3T9",,,
Subway ,4.3,American,"257 A Ontario St., Kingston, ON K7K",,,
Wendy's ,4.6,Fast food,"1043 Princess Street, Kingston, ON K7L 1H3",,,
Geneva Crepe Bistro,4.8,French,"297 Princess St, Kingston, ON K7L 1B4",,,
Juniper Cafe,4.8,Coffee & tea,"370 King St W , Kingston, ON K7L",,,
Panera Bread ,4.5,American,"88 Dalton Ave, Kingston, ON K7K 6C3",,,
Denny's Canada ,4.3,Breakfast and brunch,"670 Gardiners Rd, Kinston, ON K7M 3X9",,,
Peter's Place Restaurant,4.5,Breakfast & Brunch,"34 Princess St, Kingston, ON K7L",,,
Coco Frutti ,4.4,Breakfast and brunch,"768 Gardiners Rd, Kingston, ON K7M 3X9",,,
Metro ,4.6,Grocery,"310 Barrie St, Kingston, NAMER K7L 5L4",,,
Quick Stop Convenience,4.7,Convenience,"155 Concession St Kingston, On K7k 2b1,",,,
CocoFrutti ,4.8,Breakfast and brunch,"96 Innovation Drive Kingston, On K7k7e7 Canada,",,,
Gina's Grill,4.8,Breakfast and brunch,"1679 Bath Road, Kingston, ON K7M 4X2",,,
Division Street Market,4.8,Convenience,"370 Division St, Kingston, NAMER K7K 4A5",,,
Balzacs ,0,Coffee & tea,"251 Princess St, Kingston, ON K7L 1B4",,,
Booster Juice - Kingston,4.7,Sandwich,"293 Princess Street Kingston, On K7l 1b4 Canada,",,,
Juniper Cafe,4.9,Sandwiches,"497 Cataraqui Woods Drive, Kingston, NAMER K7P 1T8",,,
Stacked Pancake & Breakfast House ,4.5,Breakfast and brunch,"1117 Midland Avenue - Unit 5, Kingston, NAMER K7P 2X8",,,
Canadian Tire Gas+ ,3.8,Snacks,"970 Princess St., Kingston, ON K7L 1H2",,,
COBS Bread ,4.7,Bakery,"A003b - 770 Gardiners Rd, Kingston, ON K7M 0A2",,,
Tim Horton's ,4.3,Bakery,"945 Gardiners Rd-Cataraqui Twn Cntr, Kingston, ON K7M 7H4",,,
Meadowbrook Variety,0,Snacks,"545 Armstrong Road, Kingston, ON K7M 7G9",,,
Pasha,0,Turkish,"61 Division St, Kingston, ON K7L 3L8",,,
Quik Chek Convenience Store,4.8,Ice cream & frozen yogurt,"730 Front Road, Kingston, ON K7M 6P7",,,
Eggsquis ,3.7,Breakfast and brunch,"2774 Princess St, Kingston, NAMER K7P 1W9",,,
Pudgyboy's Mini Donuts ,0,Desserts,"377 Princess St., Kingston, NAMER K7L",,,
Walmart ,0,Grocery,"1130 Midland Ave, Kingston, Ca, K7p 2x9,",,,
Maverick's Donut Company ,5,Doughnuts,"320 Princess Street Kingston, On K7l 1b6,",,,
35326 Petro-Canada ,4.9,Everyday Essentials,"1586 Centennial Drive, Kingston, ON K7M",,,
Burger King ,4.5,Sandwich,"1093 Midland Avenue, Kingston, NAMER K7P 2X8",,,
Crossroads Country Store,0,Pizza,"2280 Sydenham Rd, Kingston, ON K0H 1M0",,,
Beavertails ,4.2,Desserts,"20 Market Street, Kingston, ON K7L",,,
East Side Mario's ,4.5,Italian,"774 Gardiners Rd, Kingston, ON K7M",,,
Ghost Kitchen Brands ,4.4,Desserts,"1718 Bath Rd, Kingston, ON K7M",,,
Sima Sushi,4.9,Japanese,"66 Princess St, Kingston, ON K7L 1A5",,,
241 Pizza ,4.5,Pizza,"294 Princess St, Kingston, ON K7L",,,
Maki sushi & noodle,4.8,Japanese: Sushi,"2-1218 Hwy 15, Kingston, ON K7K",,,
Akira Restaurant,4.5,Asian,"83 Aberfoyle Rd Kingston, Ontario K7M",,,
Sushiya Zen,4.8,Japanese,"49 Princess St, Kingston, ON K7K",,,
FIVE GUYS GARDINERS ,4.7,Burgers,"770 Gardiners Rd, Kingston, ON K7M 3X9",,,
Melt&Grill,4.6,Sandwiches,"292 Princess St, Kingston, ON K7L",,,
Harvey's ,4.6,Burgers,"830 Norwest Road, 3A, Kingston, ON K7P",,,
Beavertails  ,0,Desserts,"159 Division St., Kingston, ON K7L3M6",,,
Saigon Delights ,4.9,Vietnamese,"217 Division St Kingston, Ontario K7k 3z2,",,,
Little Caesars ,4.5,Pizza,"507 Princess Street, Kingston, ON K7K",,,
Izumo Sushi,4.7,Sushi,"499 Princess St, 1, Kingston, ON K7L",,,
Apsara Angkor Cuisine Restaurant,4.5,Thai,"189 Ontario Street, Kingston, ON K7L 2Y7",,,
Popeyes Louisiana Kitchen ,4.7,American,"96 Innovation Dr, Kingston, On K7K",,,
KFC ,4.4,American,"29 Warne Crescent, Kingston, ON K7K 5A6",,,
Pizza Studio ,4.6,Pizza,"358 Princess St, Kingston, ON K7L",,,
Pizza Pizza ,4.1,Chicken Strips,"414 Princess St., Kingston, ON K7L",,,
Pita Pit ,4.5,Healthy,"421 Princess St, Kingston, Ontario K7L",,,
Atomica Kitchen l Cocktails,4.6,Pizza,"71 Brock St, Kingston, Ontario K7L 2Z9",,,
Shawarma El Mina,4.8,Halal,"1759 Bath Rd, Kingston, ON K7M 4Y3",,,
Minos Take Out West,4.6,Salads,"2796 Princess Street, Kingston, ON K7P",,,
Mary Brown's Chicken ,4.7,Chicken,"656 Gardiners Rd, Kingston, ON K7M 3X9",,,
Mr. Mango Tea & Juice,0,Asian,"318 Princess Street, Kingston, NAMER K7L 1B6",,,
The Cheesecake Factory Bakery by Ghost Kitchens ,4.6,Desserts,"1718 Bath Rd, Kingston, ON K7M",,,
Thai House Cuisine,4.7,Thai,"185 Sydenham St, Kingston, ON K7K",,,
Guac Mexi Grill ,4.6,Mexican,"333 University Avenue, Kingston, ON K7L 0G3",,,
Boston Pizza ,4.2,Italian,"95 Dalton Ave, Kingston, ON K7K",,,
Presotea ,4.8,Bubble tea,"346 Princess Street, Kingston, ON K7L 1B6",,,
Torino pizza & pasta,4.6,Pizza,"1786 Bath Rd Kingston, On K7m 4y2 Canada,",,,
Swiss Chalet ,4.7,Diner,"85 Dalton Ave, Kingston, ON K7K",,,
Hero Certified Burgers  ,4.4,American,"1046 Princess St, Kingston, ON K7L 1H2",,,
Montana's ,4.6,Steak,"630 Gardiners Rd, Kingston, ON K7M",,,
Burger King ,4.3,American,"1605 Saint-Denis St, Montreal, QC H2X 3K3",,,
Pizza Pizza ,4.2,Pizza,"3714 St. Laurent Blvd, Montreal, QC H2X",,,
Capitaine Sandwich,4.9,Sandwiches,"4050 Rue De Bullion, Montreal, QC H2W",,,
Première Moisson ,0,Sandwich,"895, Rue De La Gauchetière O.,  Suite 90-401,, Montréal, QC, NAMER H3B 4G1",,,
Pizzaway,4.7,Pizza,"5595 Chemin De La Côte-Des-Neiges, Montreal, QC H3T 1Y8",,,
Subway ,0,American,"2029 Rue Metcalfe, Montreal, Quebec H3A 1X7",,,
Léché desserts,4.8,Desserts,"640 Rue De Courcelle, Montréal, Québec H4C",,,
Pizza Pita Kosher MK,4.7,Pizza,"5345 Rue Vézina, Montréal, Qc H3X",,,
A&W ,4.5,Fast food,"1540 Boulevard De Maisonneuve Ouest, Montreal, QC H3G",,,
Starbucks ,4.8,Coffee & tea,"1301 Rue Sainte-Catherine Est, Montréal, QC H2L",,,
Super C ,4.2,Grocery,"2035 R. Atateken, Montreal, NAMER H2L 3L9",,,
Metro ,4.4,Grocery,"3575 Avenue Du Parc, Suite 5100 Montréal , Quebec, Montreal, NAMER H2X 3P9",,,
Depanneur Tina Plus,4.8,Convenience,"1311 Rue Ontario Est, Montreal, QC H2L 1R8",,,
McDonald's ,4.4,Burgers,"850, Rue Sainte-Catherine Est, Montréal, QC H2L 2E2",,,
Boulangerie Ange Humaniti,4.5,Breakfast and brunch,"345 Avenue Viger Ouest, Montreal, QC H2Z",,,
Depanneur mimjim exp,4.7,Convenience,"200 Avenue Des Pins Est, Montreal, QC H2X",,,
Adonis ,4.5,Grocery,"225 Peel St, Montreal, NAMER H3C 2G6",,,
St-Hubert ,4.5,Canadian,"4120 Boulevard Lasalle, Verdun, QC H4G 2A5",,,
Tommy Cafe ,4.5,Breakfast and brunch,"200 Rue Notre-Dame Ouest, Montréal, QC H2Y 1T3",,,
Sandwicherie SAMING,0,Asian: Other,"6595 St Hubert, Montréal, QC H2S",,,
Boulangerie Pita & Pizza,4.7,Pizza,"8500 Boulevard Lacordaire, Montréal, Quebec H1R",,,
Café Dépôt ,0,Coffee & tea,"383 Rue St Jacques Ouest, Montreal, Quebec H2Y 2N9",,,
Le Marquis Signature Santé ,0,Healthy,"194 Rue Saint-Paul O, Montréal, Qc H2Y",,,
Juliette & Chocolat ,4.8,Desserts,"1615 Rue Saint-Denis, Montréal, Quebec H2X 3K3",,,
Cafe et Crepe,4.2,Salad / Sandwiches,"374 Rue Sainte-Catherine O, Montreal, Qc H3b1a2, Ca, QC H3A",,,
Copper Branch ,4.7,Sandwich,"1180 Boulevard De Maisonneuve O, Montréal, QC H3A",,,
Patisserie Harmonie,4.9,American,"85 Rue De La Gauchetière Ouest, Montreal, QC H2Z",,,
Dépanneur Royal,4.8,Convenience,"2221 Mont-Royal Ave E, Montreal, Quebec H2H 1K5",,,
Walmart ,0,Grocery,"6700 Chemin De La Côte-Des-Neiges, Montréal, Québec H3S 2B2",,,
TETA'S DOUGH,4.3,Desserts,"1190 Rue Mackay, Montreal, QC H3G 2H4",,,
District Bagel Kosher,4.8,Salads,"709 Chemin Lucerne, Montréal, QC H3R 2G4",,,
Julian’s Comptoir Gourmand,4.9,Salad / Sandwiches,"111 Avenue Du Mont-Royal O, Montréal, QC H2T 2S9",,,
La Belle Province ,4.5,American,"3929 Sherbrooke E, Montréal, QC H1X",,,
Boulangerie Ange Masson,4.8,American,"3165 Rue Masson, Montréal, QC H1Y 1Y2",,,
Jugo Juice ,0,Juice & Smoothies,"705 Rue Ste-Catherine Ouest # Z150, Montreal, Quebec H3B 4G5",,,
Mr. Puffs ,4.5,Desserts,"438 Place Jacques-Cartier, B, Montréal, Québec H2Y 3B3",,,
B&M ,4.9,Breakfast and brunch,"120 Rue Saint Viateur O, Montreal, QC H2T",,,
St-Viateur Bagel ,4.9,American,"1127 Av. Mont-Royal E, Montreal, Quebec H2J",,,
Depanneur no.1,4.9,Everyday Essentials,"1501 Rue Marie-Anne Est, Montreal, QC H2J 2C7",,,
Pizza Planete,4.8,Pizza,"1181 Decarie Street, Montreal, Quebec H4L 3M8",,,
Ben & Florentine ,4.7,Breakfast and brunch,"300 Chemin Du Golf, Verdun, QC H3E 1A8",,,
Au Pain Doré ,4.8,Breakfast and brunch,"3075 Rue De Rouen, Montréal, QC H1W",,,
Arthurs Nosh Bar,4.9,Breakfast and brunch,"4621 Notre-Dame St W, Montreal, QC H4C 1S5",,,
Freshii ,4.2,Bowls,"1102 Boulevard De Maisonneuve O, Montréal, QC H3A",,,
Les Glaceurs ,0,American,"453 Rue Saint-Sulpice, Montreal, QC H2Y 2V8",,,
Little Bear Animalerie,5,pet supplies,"4152 Saint-Catherine St W, Westmount, NAMER H3Z 1P4",,,
Restaurant Laterna,0,Burgers,"3997 Rue Wellington, Montreal, QC H4G 1V6",,,
Madame Dibou les Gateaux,4.9,Cupcakes,"4482 Rue Fabre, Montreal, QC H2J",,,
Joe's Panini 24hrs,4.2,Salads,"1404 Rue Drummond, Montréal, Québec H3G",,,
Cora Déjeuners et Diners ,4.6,Breakfast and brunch,"1396 Avenue Du Mont Royal, Montreal, QC H2J",,,
District Bagel Park Avenue,4.8,Sandwich,"5679 Avenue Du Parc, Montréal, QC H2V",,,
Le Plezl,0,Kosher,"3429 Rue Peel, Montreal, QC H3A 1W7",,,
L'Oeufrier ,4.6,Breakfast and brunch,"2876 Rue Masson, Montréal, QC H1Y 1W9",,,
La Planète Oeuf,4.7,Breakfast and brunch,"2734 Rue Masson, Montréal, QC H1Y",,,
Boulangerie de Froment et de Sève,4.7,Sandwiches,"2355 Rue Beaubien E, Montréal, QC H2G",,,
Chez Nick,4.8,Sandwich,"1377 Greene Avenue, Westmount, Quebec H3Z",,,
Boulangerie Pâtisserie La Conca d'Oro,4.9,Bakery,"2550 Jean Talon St E, Montreal, QC H2A",,,
Boulangerie Louise,4.8,Bakery,"6835 Boul St-Laurent, Montréal, NAMER H2S",,,
L2 BubbleTea ,4.6,Desserts,"1500 Avenue Atwater, Montreal, QC H3Z 1X5",,,
Pizzeria et Grillades Al-Amine,4.1,Pizza,"3549 Avenue Lacombe, Montréal, NAMER H3T",,,
Duc de Lorraine,4.5,Breakfast and brunch,"5002 Chemin De La Côte-Des-Neiges, Montréal, Qc H3V",,,
Café Bénédictins,4.7,Breakfast and brunch,"5511 Rue De Verdun, Montréal, QC H4H",,,
Au Pain Doré ,4.6,Breakfast and brunch,"5214 Chemin De La Côte-Des-Neiges, Montréal, QC H3T 1X8",,,
Banh Mi Hanoi,4.9,Vietnamese,"2499 Jean Talon St E, Montreal, QC H2E 1W3",,,
James Perse Côté Cuisine,4.7,Breakfast and brunch,"4865 Rue Sherbrooke Ouest, Westmount, Qc H3Z 1G9",,,
La Foumagerie,4.5,Salads,"4906 Sherbrooke Street West, Montreal, Quebec H3z 1h3, Canada, NAMER H3Y",,,
Vegateau,4.9,Dessert: Other,"1215 Avenue Du Mont-Royal E, Montreal, QC H2J 1Y2",,,
Wendy's ,4.4,Fast food,"7295 Des Galeries D'Anjou, QC H1M 2W2",,,
Boulangerie de Froment et de Sève ,4.8,Sandwiches,"91 Rue Beaubien Est, Montréal, QC H2S 1R1",,,
Felix&Norton Montreal,4.4,Dessert: Other,"3905 St Laurent Blvd, Montréal, QC H2W",,,
Real Fruit Thé Aux Perles ,4.8,Juice & Smoothies,"705 Rue Ste-Catherine O, Montreal, QC H3B 4G5",,,
B&M ,4.7,Greek,"6200 Somerled Av, Montreal, Quebec H3X",,,
Depanneur Provisoir,4.7,Everyday Essentials,"4301 Rue Bannantyne, Montreal, QC H4G 1C9",,,
Dagwoods ,4.8,American,"5041 Rue Sherbrooke O, Montréal, Québec H4A 1S8",,,
Kosher Pizza Bar ,4.3,Pizza,"5800 Boul Cavendish, Côte Saint-Luc, QC H4W",,,
Forno West ,4.8,Sicilian,"5273 Avenue De Courtrai, Montreal, QC H3W",,,
Canard Café,4.8,Breakfast and brunch,"4299 Rue Ontario Est, Montréal, QC H1V 1K4",,,
Le Marquis Castelnau,4.7,Desserts,"367 Rue De Castelnau Est, Montréal, QC H2R 1R1",,,
Bernie Beigne,5,Pastry,"23 Rue Bernard Ouest, Montréal, QC H2T 2J6",,,
Boulangerie Chez Fred,5,Desserts,"5338 Rue Sherbrooke Ouest, Montreal, QC H4A",,,
Country Style ,0,American,"420 Vansickle Rd St. Catharines, On L2s 0c7 Canada,",,,
7-Eleven ,4.2,Wings,"6 Crowland Ave @ East Main, Welland, ON L3B",,,
Food Basics ,4.5,Everyday Essentials,"325 Thorold Rd W, Welland, ON L3C 3W4",,,
A&W ,4.3,Fast food,"806 Niagara St, Welland, ON L3C 1M3",,,
Starbucks ,4.7,Coffee & tea,"897 Niagara Street, Welland, ON L3C",,,
McDonald's ,4.5,Burgers,"631 Niagara St N, Welland, ON L3C 1L9",,,
Burger King ,4.5,American,"724 Niagara Street, Welland, ON L3C",,,
Hasty Market ,0,Snacks,"554 Niagara St, Welland, ON L3C 1L8",,,
Tim Hortons ,4.5,Bakery,"2 Tremont Dr, St Catharines, ON L2T 3B2",,,
Subway ,4.5,American,"13210 Lundy'S Lane, Niagara Falls, ON L2E",,,
Mary Brown's Chicken ,0,American,"153 Hartzel Road St. Catharines, On L2p 1n6,",,,
Canadian Tire Gas+ ,0,Everyday Essentials,"69 Primeway Drive Welland, On L3b 5n4 Canada,",,,
On the Run 42396 ,0,Everyday Essentials,"681 South Pelham Rd., WELLAND, ON L3C 3C9",,,
Sunset Grill ,5,Breakfast and brunch,"130 Highway 20 East, Fonthill, ON L0S",,,
Stacked Pancake & Breakfast House ,4.7,Breakfast and brunch,"844 Niagara Street, Unit F , Welland, ON L3C",,,
Eggsmart ,4.5,Breakfast and brunch,"260 Geneva St, St Catharines, Ontario L2N 2G1",,,
Wendy's ,4.5,Fast food,"530 Niagara St, Welland, ON L3C 1L8",,,
Bubble T & Dessert,3.9,Bubble tea,"122 St Paul St E, St Catharines, ON L2R 3M2",,,
IHOP ,4.1,American,"7514 Lundy'S Lane, Niagara Falls, ON L2H 1G8",,,
Pür & Simple ,4.5,Breakfast and brunch,"290 Glendale Ave, Unit #4, St. Catharines, ON L2T 2L3",,,
Donut Diner,4.7,Breakfast and brunch,"947 Niagara St, Unit#2, Welland, Ontario L3C 1M5",,,
Domenic's On 20,4.5,Comfort food,"219 Highway 20, Fonthill, ON L0S 1E6",,,
Grazi Cafe,0,Breakfast and brunch,"436 Vansickle Rd, St. Catharines, Ontario L2S 0A4",,,
Shell  ,4.3,Convenience,"3250 Schmon Parkway., Thorold, Ontario L2V 4Y6",,,
Williams Fresh Cafe ,4.6,Sandwich,"4025 Dorchester Rd #245, Niagara Falls, ON L2E",,,
Big bee convenience and food mart,3.7,Canadian,"66 Geneva St, St Catharines, ON L2R 4M7",,,
Early Bird Restaurant,4.3,Breakfast and brunch,"2 Merritt Street, St. Catharines, NAMER L2T 1J3",,,
Cinnabon ,0,Bakery,"420 Vansickle Rd, St. Catharines, ON L2S 0C7",,,
Monster Cupcakes ,0,Desserts,"420 Vansickle Rd, St. Catharines, ON L2S 0C7",,,
Amaya Indian Street Food ,0,Indian,"420 Vansickle Rd, St. Catharines, ON L2S 0C7",,,
Cora Déjeuners et Diners  ,4.3,Breakfast and brunch,"210 Glendale Avenue B3, Saint Catharine'S, ON L2T 3Y6",,,
Petro-Canada ,0,Everyday Essentials,"7950 Mcleod Road, Niagara Falls, ON L2E",,,
Ghost Kitchen Brands ,0,Desserts,"420 Vansickle Rd, St. Catharines, ON L2S 0C7",,,
Crepe Delicious ,0,Desserts,"420 Vansickle Road, St. Catharines, ON L2S 0C7",,,
Quiznos ,0,Sandwiches,"420 Vansickle Rd, St Catharines, ON L2S 0C7",,,
CoCo Fresh Tea & Juice ,4.9,Bubble tea,"B7-344 Glendale Avenue, St. Catharines, ON L2T 4E3",,,
Filmy Tadka,3.7,Indian,"8674 Lundy'S Lane, Niagara Falls, NAMER L2H 1H4",,,
East Izakaya ,4.7,Japanese,"129 King St, St Catharines, Ontario L2R",,,
WIND Japanese and Thai ,4.8,Sushi,"131 King Street, St. Catharines, ON L2R",,,
Rollzup ice cream,4.8,Ice Cream & Frozen Yogurt,"7572 Lundy'S Ln, Niagara Falls, ON L2H",,,
Pho Ngon,4.7,Vietnamese,"55 Saint Paul Street West, Saint Catharine'S, ON L2S 2C4",,,
sushi paradise,4.6,Sushi,"210 Glendale Ave, B1a, St. Catharines, On L2T",,,
Pizza Pizza ,4.7,Pizza,"367 Lake St, 2, St. Catharines, ON L2N",,,
MA Chinese Cuisine,4.5,Asian,"123 Geneva Street, St. Catharines, ON L2R 4N3",,,
