Restaurant Name,Rating,Review
Ricky's All Day Grill (Jasper Ave),5,Fabulous breakfasts!  Huge! I asked for my hash browns extra crispy! And the delivered! I had the works omelette. Super tasty
Ricky's All Day Grill (Jasper Ave),3,Was quiet which was nice. Soup was cold but good. Fish&Shrimp platter was good.   Clubhouse was good. Service was nice.
Ricky's All Day Grill (Jasper Ave),5,Came here for brunch and there was ample seating and the staff here were so nice and personable! Had such a family restaurant feel to it. Tons of choices to choose from as well!
Ricky's All Day Grill (Jasper Ave),3,"I have been coming here for years and it is very good. I will definitely come again. It’s good for a couple or a larger group.  Food was tasty. Service was fast and courteous although it took a little while longer than expected for the food. Prices are reasonable. I love it that breakfast is available all day. Had the eggs Benedict with spicy chorizo and liked it.
February 24, 2019
We’re back for Sunday breakfast and enjoyed it, although once again we had to wait longer than anticipated.  It was busy but it should not have taken almost 45 minutes for our order.  Today I had the steak and eggs and it was okay, the hash browns were mostly cold so was the toast.  Quality is good and service was friendly and courteous.  Coffee was warm. So  overall it was okay."
Cora Breakfast and Lunch (10041 106 th Street NW),5,"Food was great and service was fast. Some homeless dude outside kept yelling swear words which kinda dampened the mood, but that not Cora’s fault. Great spot for a good breakfast. I had the pancakes and they were huge, definitely worth the money compared to some restaurants."
Cora Breakfast and Lunch (10041 106 th Street NW),2,"I made an order for delivery this morning - it was made and delivered in a timely fashion. The banana-mango smoothie was fine, but not worth the $7.00. The major problem was with the blueberry pancakes: they had only 7-8 blueberries each, which is very frustrating as the whole purpose of ordering blueberry pancakes is having blueberries in the pancakes. So, that wasn't great. Next, I stopped before eating even a quarter of one of the three pancakes. They did not have the taste or texture of pancakes. I can only describe it as what I imagine trying to eat a soft sponge would be like. Completely inedible.

It's a shame, because Cora is one of the few places I know of that offers blueberry pancakes, and I've enjoyed them before. But I'm honestly not sure if I'll ever get the memory of how bad this order was out of my head enough to try them again."
Cora Breakfast and Lunch (10041 106 th Street NW),5,"Brilliant brunch spot in downtown Edmonton! They are super busy as it is near the entrance of the hotel so they have local and travelling customers.

Even with the high demand, the staff is efficient and provided well-cooked eggs.

Highly recommend this spot!"
Cora Breakfast and Lunch (10041 106 th Street NW),4,"I was in Edmonton for the Garth Brooks concert and stayed at the hotel with this restaurant at/in it. I had breakfast there twice, two different options, the Eggs Benedict and an omelette. The fries were actually potato wedges and I felt they were surprisingly good for simple potato wedges. The Eggs Benny had a lot of fruit for garnish including a cantaloupe slice, strawberry and Apple. Overall, both breakfasts were good sized and filling and I would  have liked to have seen the omelette be seasoned (salt/pepper) at the time of cooking but it can be added by the customer.

The only con such as it is, I am used to low priced breakfasts and the prices here were kind of dear for breakfasts but the quality was there and I wanted to go back.

It appears to be a ?family? run restaurant, I am guessing here, but I got along with the servers and actually chatted with them both days. Had a fun time. The decor is simple as in not much but the food quality was high and the labour in the food prep showed that the overall restaurant quality is worth the visit

Definitely can recommend to have breakfast there"
Cora Breakfast and Lunch (10041 106 th Street NW),5,"Wonderful Food Especially for Breakfast!! I enjoyed my Food a Bunch! And the Waiter was really nice! Always Saying ""Thank You"" That was so Lovely of Her! May Everyone Here have a Great Day! Thank You!! 😊"
IHOP (3921 Calgary Trail),4,Our server Greta was absolutely lovely. Very professional and equally friendly. Made everyone feel welcome. The food was good and reasonably priced. We did have challenges hearing each other over the noise in the restaurant. Not much they can do about that.
IHOP (3921 Calgary Trail),4,"The food was excellent. We went in there for a Breakfast. They had Protein pancakes option so ordered that. It had the right amount of sweetness. Had there been a little more cream on the top, it would have been perfect.
The Chicken Fajita omlette was amazing as well.
All in all a good place for breakfast if you want to go for a balanced meal."
IHOP (3921 Calgary Trail),4,"Wanted to try the IHOP here for awhile , pretty decent overall experience but the food lacked a finesse I was looking for. At these price points I would expect better quality , especially the Benny's. Whoever poached mine did a terrible job at it. There was hardly any of the white left in the egg , probably swirled around too much. Failed to impress !"
IHOP (3921 Calgary Trail),1,"Very bad experience, my food had 2 hairs going through my omelette. 2nd hair found by the server himself lol. My 'chicken' omelette had no chicken inside. I didn't get pancakes as I ordered instead they gave me a fruit bowl, so obviously wrote my order wrong, or wasn't listening.
It used to be my fav goto place with guests and family but unfortunately with their quality so down... I doubt I'll bring my guests here. Sad to see this place going downhill so fast. :("
IHOP (3921 Calgary Trail),5,"Love the healthy option for breakfast. The server was awesome, and knew the menu well for me to make a decision.
$59 for breakfast includes tip!
Food was fresh and good."
IHOP (15130 127Th St),2,"My husband and I decided to have breakfast at ihop yesterday and how disappointing!  The host that took our name was rude and had an attitude.  Although that should have been a red flag for us we stayed and waited to be seated.   We were finally seated and was even more disappointed at the dirty table we were seated at.  Thank goodness our waitress was kind and friendly.  She took our orders and brought us coffee.
I ordered 2x2x2 which was well made and my husband ordered an eggs benedict which was made perfectly.
I don't think we'll go back to this location.   I would rather dine and support a business who hire and train hosts who greet people welcoming not rude and abrasive."
IHOP (15130 127Th St),5,Amazing. Great food. Of course it's a family restaurant so there is alot of noise from the children. But worth the food portions and taste. My server was Adriano. He's awesome. Works hard. Hope you get him and tip him well.
IHOP (15130 127Th St),5,"Great family place. Our server, Fenisha was wonderful. She was attentive and made sure we were enjoying the meal. There was a problem with one order that she fixed quickly and pleasantly.

They were out of a couple of things but there were plenty of tasty alternatives. Recommend to anyone!"
IHOP (15130 127Th St),1,"The past 4 times our group dined here, our food was lukewarm, bacon was greasy, and eggs were cold. They certainly do not know how to even make the food look appetizing!
Not sure if it’s under new management but certainly something has to change. Please serve your food hot."
IHOP (15130 127Th St),5,"The restaurant was quite busy, but there was lots of staff, and our food came out quickly. Our server was attentive.
The last time I was at an IHOP, the cinnastack pancakes looked a little different. They must have altered how they did the cinnamon spread. But they were still delicious."
Tantalizers African Express,5,"Really enjoyed my stay the owner was very nice and helpful
Next time I visit I will surely go back"
Tantalizers African Express,5,I really enjoyed myself and I will surely be coming back
Tantalizers African Express,1,"I wish I could give this business a zero. I placed an order which they confirmed with me over the phone. I arrived and they said they did not get an order.

I drove 25mins to get a bad service from them. The staff were giggling and told me they did not have my order.

They were confused, rude and unprofessional. I won’t be coming back. This is one major reason such restaurants never really grow past one location. You can’t treat customers poorly and be okay.

I was poorly treated and the staff did not even care if they made a mistake to record my order after I called over the phone.

Best believe I won’t be coming back, ever. I’ll take my business elsewhere."
Tantalizers African Express,1,"I had called to make an order. The person on the phone was quite rude and couldn’t offer any recommendations, or explain in further detail. Saying she “had lots of people to order”. I understand times can be busy but to be rude and not take customer phone calls is quite unnecessary."
Tantalizers African Express,1,"Horrible customer service, with nonchalant staff. Placed an order, was given a time for pick-up, arrived at the location and they suddenly had no idea what the order was."
Langano Skies Ethiopian Restaurant,5,"You have got to try this place!
We had family visiting (from another continent) and, as a part of experiencing Edmonton, decided to sample a fusillade of great cuisines that the city has to offer. After three weeks of eating out family consensus went overwhelmingly in favour of Langano Skies as the tastiest food we have had during the visit.
Stop reading this and order from Langano Skies!"
Langano Skies Ethiopian Restaurant,5,"The service we had here was absolutely phenomenal. Gave great explanations, recommendations and was keen on our needs.
The food itself was delicious! I've had Ethiopian food before but only at festivals. Communal eating and eating with your hands is pretty dang fun.

Overall I'd recommend to come here with a group to get the full experience. Highly recommended!"
Langano Skies Ethiopian Restaurant,5,"5/5. One of my greatest discoveries for food!!!
A quiet place with good ambience, very friendly staff! Food is exquisite (extra star if you are fond of spicy food), generous in quantity (portions), and reasonable price for all the above combined! It is definitely an experience. Friday night combo (vegetarian) is a must try! Ethiopian Coffee and KATEGNA is highly recommended. They patiently and passionately walk you through menu, and explain what to expect- Extra star for the service."
Langano Skies Ethiopian Restaurant,5,"Langano Skies was delightful! Sad to see an Edmonton staple go… The environment is welcoming and charismatic. The service was extremely attentive and kind! Shout out to Emma! The veggie sambusa was the best way to start the meal! But the special tibs, yebeg wot and atekilt aletcha wot were so delicious!"
Langano Skies Ethiopian Restaurant,2,"Family owned restaurant, super friendly. However, price doesn’t do justice with the quantity. I think it’s somewhat pricey with what they offer. Taste is okay. 7/10. I ordered 1 red lentil entrée which was 18$(which should be 10-12$) and chicken curry for 22$ was too oily and less curry(which should be 16-18$ )"
Taste Blends,5,"Taste Blends is the place for authentic Kerala food. Their buffet is the best Kerala buffet I’ve ever had!!! Chicken Biryani, Raita, Mutton, Rice and Paneer butter Masala too for the veg option. Must come and try it. ❤️❤️❤️❤️"
Taste Blends,5,"Was invited here for a date. Love trying new foods and was excited to try a new place. Though I have no pictures of what we had, doing my best to keep my phone away, I did get a few pictures. We had the Rava Masala Dosa and the Kuttanadan Prawn Dosa. Love eating with my hands and these two were amazing. The flavors were exciting and the food was soo well done. We then enjoyed a masala tea.
We had the place to ourselves but I got the impression, that if the place was full, we would have been given the same amount of attention. Excited to return and try more on their menu."
Taste Blends,5,I really enjoyed the Food and taste were awesome. The owner is great at customer service.   Everyone should try their food. They don’t compromise with the taste. I will visit once again to try some other dishes as well.
Taste Blends,4,"When I left from Qatar, my 1st restaurant here was the best South Indian cuisine in Edmonton. It tasted food and good service. I love the staff always smiling."
Taste Blends,4,"Very good choice of dishes and they adjusted the spice level for me which was something very few Indian restaurants do. The meals were large quantity and good quality, friendly staff, quick service and nice atmosphere"
Fine Pizza & Donair,1,Worst chicken donair i have had! that star is there by default but does not deserve one . waited over 25 mins burnt fries burnt chicken n burnt taste
Fine Pizza & Donair,4,"I got a friendly greeting over the phone when I called to order a pizza pickup.
I think I waited less than two minutes for the food when I arrived.
Drove to my buddies place and dove in.
Very good pizza and not shy with the toppings!
They didn’t skimp on the cheese or sauce without over doing either one.
I’ll definitely be back.
I would have posted a pic but we ate it up before we had a chance😄"
Fine Pizza & Donair,5,Amazing food! Bought a chicken shawarma poutine and it was the biggest poutine I have ever had...Will definitely be a regular after our experience.
Fine Pizza & Donair,1,"It was so bad i asked for a lamb shawarma, he gives me 2 pieces of lamb  when i went to pay he clicks on the 2$ tip button without asking me the rice tasted like really watered down uncle bens with this weird noodle in it the hummus had little to no flavor, after all of that the salad was lightly seasoned with so little dressing. Rip 25$"
Fine Pizza & Donair,5,"Looking for a late night Donair? Come see these guys. Food was great, service was prompt, and prices were reasonable. I had a large Donair combo and was not disappointed; the Donair was well wrapped, the meat was fresh yet nice and crispy and full of flavor, had sweet sauce on it and it was consistent all the way through, even though at the bottom of the plastic bag was covered in sauce drippings, the Donair remained whole and did not fall apart, the portion was generous as well. The fries were well seasoned although Cavendish fries are my favorite at Donair Joints; overall, good food, service and price. I will come back again."
Pho Hoan Pasteur (West Link),5,"This is the first time I've been to this location. It was very busy for a Wednesday.

The service was quick and very friendly. They accommodated us with last min changes and also checked up on us when they could.

Food was delicious. Green onion cake was very crispy. They got rid of little plates for dipping and instead went for paper cups.

Ordered number 13 and 52?  Flank, tripe and tendon was good texture. Not too chewy. Well balanced."
Pho Hoan Pasteur (West Link),5,"I recently visited Pho Hoan Pasteur in Edmonton and had an incredible experience! The restaurant is one of many locations in the city, but this one in particular stood out to me. The atmosphere was cozy and inviting, and the staff was very friendly and welcoming.

But what really blew me away was the food. The pho was easily the best I've ever had in Edmonton, and their bo kho (beef stew) noodle soup was absolutely amazing. The broth was rich and flavorful, and the beef was so tender and delicious. I also loved the generous portions of noodles and meat in the soup. Don't forget their famous onion cake, good to dip with the soup!!

Overall, I would highly recommend Pho Hoan Pasteur to anyone looking for delicious Vietnamese cuisine in Edmonton. The quality of the food and the friendly service make this a standout restaurant in the city. I will definitely be returning soon!"
Pho Hoan Pasteur (West Link),5,Pho Satay is so good!! It's definitely one of the best Pho places here in Edmonton!
Pho Hoan Pasteur (West Link),5,"Noodles are delicious, love that all noodle items come in 3 different sizes, very economical for sharing. Good value for the portion size and generous amounts of meats. One thing that could be improved is to replace plastic bowls with ceramic ones. Not a very healthy thing to be placing almost boiling hot soup in plastic bowls."
Pho Hoan Pasteur (West Link),5,"The consistency is on point, you can come everyday and the taste is on point every time. Try everything... you will thank me later. Their ice coffee is the best ❤️❤️❤️

I recommend #16 and house special as well. The onion cakes are to die for as well. Their menu is full of surprises."
Palabok House,5,"Palabok House in Edmonton serves up a delicious variety of Filipino and Chinese dishes, with an all-you-can-eat option and a range of fruits and desserts to choose from. For a special treat, you can also order their famous halo-halo and of course ""palabok"". On Fridays, enjoy a lunch discount of CAD17.99 per head, making it an affordable option for families and friends. Kids under three years old can also dine for free. The authentic Filipino cuisine is sure to impress, and it's not just Filipinos who love to eat here - many other nationalities also enjoy the tasty food. To make the experience even better, the occasional live entertainment by famous Filipino bands and celebrities adds to the vibrant atmosphere."
Palabok House,4,Food was delicious except that the white rice was a bit too dry. Crispy chicken and pancit egg noodles were amazing!
Palabok House,2,"What started out as a nice evening yesterday ended up in a disaster.  We ordered three dishes and an appetizer and was reassured that none of them had shrimp in it.  When we received our Pancit Hab-Hab (#37), I noticed shrimp on top.  I told our waitress that we were given the wrong order as the dish we got had shrimp in it and it was not as described on the menu.  The order should only be pork.   She took the dish back into the kitchen and told us that this time there is no shrimp as the kitchen made a new one.  My fiancé was the first one to dig in and he ended up eating a small piece of shrimp that was buried into the noodles.  He got extremely sick right afterwards.  We mentioned this to our waitress.  She felt terrible about the situation.  I told her that the new dish the kitchen made was still wrong as it also had chicken it.  Still not as described on the menu.  She told us that the menu has not been updated.  Please be wary if you have any food allergies or intolerances, as what is described on the menu may not be accurate.  We did not get charge for the dish.  We will not be returning to this place again."
Palabok House,5,"It’s the best I always come here with the 2 in one meal, I like all 5 dishes included in the price except for the rice.  The waiting is not bad, plus you can take out what cannot finish.  I highly recommend this restaurant, Filipino food is the best!"
Palabok House,5,"Palabok House offers delightful Filipino cuisine that will leave your taste buds satisfied. Their signature palabok dish is a standout, featuring a harmonious blend of flavors and textures. The dishes are prepared with care and showcase authentic Filipino flavors. It's a must-visit for anyone seeking a scrumptious Filipino dining experience."
Urban Plant Cafe,3,"I came in not knowing what Urban Plant Cafe was. I ordered a beverage and food but was told that they would take a considerable amount of time to make. When I asked what might be good to go without waiting 10-15 minutes but they didn't have a lot to offer at first glance.  The staff also didn't seem to be attentive.  I will probably have to come back in the future because the whole experience at this cafe was a bit ""confusing"".  I'll still give it three stars...the menu seems great and the space was clean and well lit.  Stay tuned.

3 x 🥤🥤🥤"
Urban Plant Cafe,4,"If you're craving for some ice cream, I highly suggest that you take a trip down south of Edmonton and have some Korean Shaved Ice Dessert (Bingsu). Urban Plant Cafe has some great options for coffee but their desserts are a must. They're pricey but well worth it and you can share it if you like but once you have a taste of these little heavenly bowls of happiness you won't be able to stop eating them. Taro and Kong Bingsu are my goto, both have an Oreo layer in between and some Cornflakes underneath which you're able to have a little cereal at the end. Not overly sweet.

Also, there's a few more items here to be had such as the Mochi Cheese Pizza and the Macarons, but I mostly go here for this dessert.  I live on the Northside of Edmonton and I'm sure there other places that have it but the way they make their bingsu is pretty darn good.

The reason for the 4 stars is because their Uber services have too many complaints and its their drivers trying to cancel orders and get away with it. Management needs to complain that their drivers have to pay or commit to the order or else they are able to run away with your food.

TLDR; This little coffee shop is pricey but they have a great menu for desserts and should be in your goto spots for a late night craving. Uber drivers tend to cancel coming from them and they run away with your order late at night without any repercussions."
Urban Plant Cafe,5,"The macarons are amazing here and worth the price (somewhere around $3.50 each). Can’t wsit to go back and try the other sweets there! Also a very nice place to study at, there’s an okay amount of seating but we went when it wasn’t busy and it was perfect."
Urban Plant Cafe,5,"I visit this cafe every Saturday or any time that I have a chance to. It is one of the best cafes that I have ever been to. Their bingsu is phenomenal, the taste is amazing, and the texture doesn't feel like a shaved ice, but it feels like you're eating clouds that just melt in your tongue.The panini and croffles that we ordered were also amazing from presentations to taste itself. The best thing is that the prices don't match the food!! You get delicious food for less than $15!!

The staff is very friendly and very professional, if you can't decide what to order just ask them because their recommendations are all good for new customers.

The cafe itself was quite unique, I mean that in a good way. The cafe was clean and very welcoming. If you like plants and a chill cafe to go to, this is the place. It's good for dates and brunches. Also you can buy plants here as well.

Overall, it's an excellent cafe from service, food, interior design, and cleanliness. I'll be back for more bingsu!!"
Urban Plant Cafe,5,"Super cozy--beautiful plants everywhere, nice ambiance, great staff, lots of food/snacks to choose from. Loved their bingsu and lattes."
Mikado Restaurant (Westside),3,"I am a Mikado regular but first time at this location. As I waddled into the joint, my tummy growled in anticipation. The food? Reliable and tasty as always. The fish? Fresher than a sea breeze on a pirate's face. Desserts? Sweeter than Grandma's kisses. But the service? Started off frostier than a penguin's backside. they warmed up by the end but it is a little too late for me not to mind."
Mikado Restaurant (Westside),5,"We were searching a convenient sushi in West Edm for a take away and found this. We entered and they had a table so we stayed
We loved the food and the place. Clean, minimal, Japanese style. Fish was tasty and well presented
All the servers were dressed in Japanese style with nice Kimonos for the girls.
We loved it.
Only... no Ramen on the menu except for the frozen one for the take away."
Mikado Restaurant (Westside),5,After being in Edmonton for a long time I never thought to try this place my husband suggested that we try it and boy was I pleasantly surprised absolutely delicious 😋  will definitely come back
Mikado Restaurant (Westside),2,"Went to Mikado West tonight for dinner. The food was quite tasty, unfortunately the service was not what you would expect from a nice Japanese restaurant such as Mikado. My husband ordered a bento box, and a chicken udon. I ordered a Brad roll, a small salmon sashimi and a chop chop roll. Took a while for someone to come to our table at the beginning, then after we ordered, the waitress brought out all of my food one by one, about 5 minutes passed and then my husband got his udon. The bento took another 17 minutes to even come to the table and I was already almost done my food. Not once did the waitress come and check on us, and then we waited for another 10 minutes just to get the bill. Food was amazing, tasted great but if you plan on eating at the same time as your partner - you may be disappointed."
Mikado Restaurant (Westside),3,This location is not as nice as the south side. The food is great but it seems mikado is not as fancy as they used to be. They used to give you scented wet towel upon arrival to cleanse your hands before touching the menu. The peppermint scented cloth also added to the experience
Pizza Unlimited & Fried Chicken,1,Worst pizza I have ever eaten... pizza dough was COMPLETELY raw on the inside. Was as if they did not even bother to cook any of the pizza. Very oily on top of that. Ate two slices of two large pizzas and had to throw both of them in the trash. Disappointing.
Pizza Unlimited & Fried Chicken,5,Always a surreal experience. Hands down the best pizza and fried chicken in the city. I love a restaurant who cares and is consistent and this is one of them. The pizza sauce and amount is excellent. Cheese is never over cooked. Everything is amazing here and I hope edmonton never loses this gem. I have lived in this city for 7 years and I travel  from north to south at least once a month for this. Keep up the good work guys.
