"id","restaurant_name","rating","category","address","latitude","longitude","province"
2162,"Hollywood Gelato","4.8","Ice Cream & Frozen Yogurt","1640 Bayview Ave, Toronto, ON M4S","43.7067881","-79.3757643","ON"
2163,"TasteT House (Bathurst)","4.7","Bubble tea","410 Bathurst Street, Toronto, ON M5T","43.65418349999999","-79.4070364","ON"
2164,"BenGong's Tea 本宫的茶 Yonge","4.7","Asian","576 Yonge Street, Toronto, ON M4Y 1Z3","43.6651044","-79.38483889999999","ON"
2165,"La Diperie (717 Bay Street)","4.6","Desserts","717 Bay Street, Toronto, ON M5G","43.6588092","-79.3846555","ON"
2166,"Chapayom","New","Bubble tea","21 Wellesley St W, 6, Toronto, ON M4Y 0H1","43.664527","-79.3855384","ON"
2167,"Melt n Dip (Adelaide St E)","4.7","Desserts","53 Adelaide St E, Toronto, ON M5C","43.6507014","-79.37607899999999","ON"
2168,"Kibo Sushi (Rogers Centre)","4.7","Sushi","325 Bremner Blvd., Toronto, ON M5V","43.6405095","-79.3909896","ON"
2169,"Bocados Bake Shop (Queen St. W)","4.7","Desserts","923 Queen St W, B, Toronto, ON M6J","43.6452898","-79.4127389","ON"
2170,"Oishii Tea (Queen W)","4.7","Desserts","467 Queen St W, Toronto, ON M5V 2A9","43.6483773","-79.39740069999999","ON"
2171,"Tiger Sugar (Yonge St)","4.7","Desserts","439 Yonge St, A, Toronto, ON M5B 1T3","43.661044","-79.3827237","ON"
2172,"Fast Fresh Foods (Eaton Centre Mall Food Court)","5.0","Healthy","220 Yonge Street, Toronto, ON M5B","43.6539681","-79.3801225","ON"
2173,"Honey's Ice Cream","4.9","Ice Cream & Frozen Yogurt","1448 Dundas Street West, Toronto, ON M6K","43.6497363","-79.4304253","ON"
2174,"Uncle Tetsu's Japanese Cheesecake (Bay St)","4.8","Desserts","595 Bay St, Toronto, ON M5G 2C2","43.6565324","-79.38284519999999","ON"
2175,"Salad Days","New","Salads","333 Bay Street, Toronto, ON M5H 2R2","43.6503406","-79.38052069999999","ON"
2176,"COPS","4.9","American","89 Lewis St, Toronto, ON M4M 2H2","43.6588302","-79.34829069999999","ON"
2177,"Pizza Café","4.6","Pizza","3774 Bathurst St, North York, ON M3H","43.7379498","-79.43467609999999","ON"
2178,"Govinda's","4.8","Vegetarian","243 Avenue Rd, Toronto, ON M5R 2J6","43.6769933","-79.3971906","ON"
2179,"Sukhothai (Dundas West)","4.9","Best of Toronto","1442 Dundas St W, Toronto, On M6j 1y6, Canada, ON M6K","43.6497697","-79.4302862","ON"
2180,"Yifang Fruit Tea一芳台灣水果茶-Yonge","4.8","Bubble tea","672 Yonge St, Toronto, ON M4Y 2A6","43.66727239999999","-79.3857771","ON"
2181,"Wok & Bowl","4.7","Kosher","3023 Bathurst Street, Toronto, ON M6B 3B5","43.7181046","-79.42914789999999","ON"
2182,"Bloomer's (Bloor)","4.8","Bakery","873 Bloor St W, Toronto, ON M6G 1M4","43.6619921","-79.42491590000002","ON"
2183,"Pho Lang Van","4.8","Vietnamese","958 Saint Clair Avenue West, Toronto, ON M6E","43.67973250000001","-79.43618099999999","ON"
2184,"Yogen Fruz (220 Yonge St)","4.9","Ice Cream & Frozen Yogurt","220 Yonge St, Toronto, ON M5B","43.6539681","-79.3801225","ON"
900,"Wendy's (10365 111th Street)","4.7","Fast food","10365 111th Street, Edmonton, AB T5K 2V3","53.5458777","-113.5109136","AB"
901,"McDonald's (Garneau)","4.6","Burgers","8415 109th Street, Edmonton, AB T6E","53.5207809","-113.5115079","AB"
902,"Subway (230 10111 104 Ave)","New","American","10111 104 Ave Nw, Edmonton, AB T5J 4X1","53.5456285","-113.4946715","AB"
903,"Burger King (13338-137 Avenue)","4.3","American","13338-137 Avenue, Edmonton, AB T5L 2A9","53.5999637","-113.553132","AB"
904,"7-Eleven (11528 - 107 Avenue)","4.9","Bakery","11528 - 107 Avenue, Edmonton, AB T5H","53.5515995","-113.5207929","AB"
905,"A&W (82nd Ave Edm & 101 Street)","4.6","Fast food","8115 101 St Nw, Edmonton, AB T6E 1Z2","53.5177223","-113.4908454","AB"
906,"Starbucks (10001 107th Street)","4.6","Bakery","10001 107th Street, Edmonton, AB T5J 1J1","53.5391807","-113.5042047","AB"
907,"Harvey's (109 St & 104 Ave)","4.6","Burgers","10358 109 St Nw, Edmonton, AB T5J","53.5458168","-113.5089218","AB"
908,"Denny's (10803-104 Ave NW)","4.2","Breakfast and brunch","10803-104 Ave Nw, Edmonton, AB T5J 4Z5","53.545992","-113.5070038","AB"
909,"Ricky's All Day Grill (Jasper Ave)","4.6","Breakfast and brunch","10140 109 Street, Edmonton, AB T5J 1M7","53.5412496","-113.5096212","AB"
910,"Tim Hortons (Unit # 240 - 10111 104 Avenue Unit 240)","4.4","Bakery","Unit # 240 - 10111 104 Avenue , Unit 240, Edmonton, AB T5J","53.54592","-113.49476","AB"
911,"Cora Breakfast and Lunch (10041 106 th Street NW)","4.6","Breakfast and brunch","10041 106 Th Street Nw, Edmonton, AB T5J","53.5400481","-113.5023609","AB"
912,"A&W (PC 137th)","4.4","Fast food","5011 137th Avenue Ne, Edmonton, AB T5A","53.5994707","-113.3011071","AB"
913,"IHOP (3921 Calgary Trail)","4.4","Burgers","3921 Calgary Trail, Edmonton, AB T6H 4J8","53.4745278","-113.4942898","AB"
914,"IHOP (15130 127Th St)","4.4","Breakfast and brunch","15130 127th St, Edmonton, AB T6V","53.6145775","-113.5418981","AB"
915,"Watts Cookin","New","Comfort food","12116 107 St Nw, Edmonton, AB T5G","53.5752616","-113.5067231","AB"
916,"Second Cup (7477 - 101st Avenue NW)","New","Coffee & tea","101st Avenue Nw, 7477, Edmonton, AB T6A 3Z5","53.54062","-113.4425865","AB"
917,"Tantalizers African Express","4.1","African","12424 118 Ave Nw, Edmonton, AB T5L 2K4","53.5705954","-113.5372343","AB"
918,"Langano Skies Ethiopian Restaurant","4.5","Ethiopian","9906 72 Ave Nw, Edmonton, AB T6E 0Z3","53.5087749","-113.4865874","AB"
919,"Crave Cupcakes","5","Desserts","7929 104 St Nw, Edmonton, AB T6E 4C9","53.515886","-113.496427","AB"
920,"Taste Blends","4.8","Indian","9332 34 Avenue Northwest, Edmonton, AB T6E 5X8","53.466927","-113.475571","AB"
921,"Fine Pizza & Donair","4.1","Halal","14062 127 Street Northwest, Edmonton, AB T6V 1K4","53.6034076","-113.5426846","AB"
922,"Pho Hoan Pasteur (West Link)","4.8","Vietnamese","16948 107 Ave Nw, Edmonton, AB T5P 4C3","53.5536299","-113.6134403","AB"
923,"Heeretea 東喜茶 Edmonton","4.7","Asian","11116 - 82 Avenue Nw Garneau, Edmonton, AB T6G","53.5183378","-113.5188985","AB"
924,"Palabok House","4.7","Filipino","10525 51 Avenue Northwest, Edmonton, AB T6H 0K5","53.4877099","-113.5011455","AB"
925,"Urban Plant Cafe","4.9","Korean","18a 9261 34 Ave Nw, Edmonton, AB T6E","53.4649282","-113.4743242","AB"
926,"Mikado Restaurant (Westside)","4.8","Japanese","9942 170 Street Northwest, Edmonton, AB T5T","53.5378665","-113.6159681","AB"
927,"Pizza Unlimited & Fried Chicken","4.6","Pizza","2386 23 Ave Nw, Edmonton, AB T6T 0R1","53.4545107","-113.3773445","AB"
928,"Kingdom of Spices","4.5","Indian","4547 118 Avenue Northwest, Edmonton, AB T5W 1A8","53.5701903","-113.4118925","AB"
929,"Garlic & Greens","4","Indian","5611 23 Avenue Northwest, Edmonton, AB T6L 7B9","53.4532645","-113.4261956","AB"
930,"Nosh Cafe (North)","4.8","Indian","15945 97 Street Northwest , Edmonton, AB T5X 0C7","53.619897","-113.4899633","AB"
931,"Rosso Pizzeria","4.7","Pizza","8738 109 Street Northwest, Edmonton, AB T6G 1E9","53.5235208","-113.5126648","AB"
932,"YiFang Taiwan Fruit Tea 一芳台灣水果茶 (WEM)","5","Bubble tea","2580-8882 170 St Nw, Edmonton, AB T5T 4M2","53.52321","-113.61652","AB"
933,"Seoul Fried Chicken (Whyte Ave)","4.8","Korean","7904b 104 Street Northwest, Edmonton, AB T6J 4C8","53.5154406","-113.4980223","AB"
934,"Dil-E-Punjab Sweets and Restaurant","4.2","Indian","1531 Mill Woods Road East Nw, Edmonton, AB T6L","53.444085","-113.4017186","AB"
935,"The Buckingham","4.6","Burgers","10439 82 Avenue Northwest, Edmonton, AB T6E 2A1","53.51776","-113.4991639","AB"
936,"Oodle Noodle (Terwillegar)","4.8","Asian fusion","2305 Rabbit Hill Rd Nw #3, Edmonton, AB T6R 3L6","53.4546916","-113.5650131","AB"
937,"Remedy Cafe (Whyte Ave)","4.8","Indian","10479 82 Avenue Northwest, Edmonton, AB T6E","53.5179199","-113.50017","AB"
938,"Tokyo Express (Oliver Square)","4.8","Sushi","11436 104 Ave Nw , Edmonton, AB T5H","53.5475874","-113.5200902","AB"
939,"Pho Hoan Pasteur (Edmonton)","4.8","Vietnamese","6566 28 Ave Nw, Edmonton, AB T6L","53.4595539","-113.433143","AB"
940,"Tapsilog Filipino Cuisine","4.7","Filipino","10617 51 Ave Nw A Edmonton AB T6H","53.4879717","-113.5051092","AB"
941,"Chicko Chicken Edmonton (southgate)","4.7","Korean","10633 51 Avenue Northwest, Edmonton, AB T6H 0K8","53.487899","-113.505516","AB"
942,"New Everest Indian Multi Kitchen & Bar","4.7","Indian","10540 82 Ave Nw, Edmonton, AB T6E 2A4","53.5182357","-113.5019541","AB"
943,"Padmanadi  (Southside)","5","Vegetarian","106 6925 Gateway Boulevard Northwest, Edmonton, AB T6H 2J1","53.50612","-113.4939","AB"
944,"Chettinad Aachy's","4.4","Indian","15525 Stony Plain Road Northwest, Edmonton, AB T5P","53.5409852","-113.5891022","AB"
945,"Dagu Happy Cup 大鼓奶茶","4.9","Asian","10408 Jasper Avenue Northwest, Edmonton, AB T5J","53.5412149","-113.4995711","AB"
946,"Masala Tree","4.4","Indian","2714 141 Street Southwest Edmonton, AB T6W","53.4113637","-113.5659617","AB"
947,"Mudpot Restaurant","4.2","Indian","23 Ave Nw #2382, Edmonton, AB T6T 0R1","53.4546414","-113.3772978","AB"
948,"Siam Thai Kitchen","4.6","Thai","15883 116 Avenue Northwest , Edmonton, AB T5M","53.566219","-113.5950814","AB"
949,"Cosmic Pizza and Donair (Downtown)","4.7","Pizza","10412 102 Ave, Edmonton, AB T5J 0B4","53.5431942","-113.4999404","AB"
950,"Cinnaholic Bakery (Whyte Ave)","4.7","Desserts","10345 82 Ave Nw Unit 101, Edmonton, AB T6E","53.5179289","-113.49661","AB"
951,"PrimeTime Donair & Poutine - Ermineskin","4.8","Burgers","3004b 106 St, Edmonton, AB T6J 5M5","53.4622388","-113.5023703","AB"
952,"Smokin' Barrels Cocina Latina","4.4","Mexican","13119 156 St Nw, Edmonton, AB T5V 1V2","53.5909413","-113.5894351","AB"
953,"Lemongrass Cafe","4.7","Vietnamese","10417 51 Avenue, Edmonton, AB T6H 0K4","53.4873889","-113.4983167","AB"
954,"Tasty Indian Restaurant & Meat Shop","4.4","Indian","12916 127 St Nw, Edmonton, AB T5L 1A9","53.588213","-113.5415595","AB"
955,"TasteBuds Hyderabadi Indian Fusion","4.5","Indian","5641 Riverbend Road Northwest, Edmonton, AB T6H","53.4945863","-113.5767601","AB"
956,"Y-Not Indian Bar & Bistro","4.2","Indian","3311 34 Street Northwest, Edmonton, AB T6T 2K6","53.4621451","-113.3931122","AB"
957,"New Gurkha Indian Restaurant & Bar","4.4","Indian","4005 Gateway Blvd Nw, Edmonton, AB T6J","53.4762098","-113.4911833","AB"
958,"Kathmandu rasoi Ltd","4.7","Indian","17759 98a Ave Nw, Edmonton, AB T5T 5W8","53.5336839","-113.6281393","AB"
959,"Soban Sushi & Asian Taste","4.8","Sushi","7450 82 Avenue Northwest, Edmonton, AB T6B 0G2","53.5183567","-113.4421797","AB"
960,"Royal Sweets & Restaurant","4.2","Indian","5065 22 Avenue Southwest, Edmonton, AB T6X","53.4128487","-113.4187363","AB"
961,"Raja Foods","4.4","Indian","5173 55 Ave Nw, Edmonton, AB T6B","53.4908126","-113.4197252","AB"
962,"11584 Burger King (6049 Young Street)","4.6","American","6049 Young Street, Halifax, NS B3K","44.6592106","-63.6035851","NS"
963,"Laurent French Bakery","New","Breakfast and brunch","2063 Gottingen St, Halifax, NS B3K 3","44.6515262","-63.5823072","NS"
964,"McDonald's (Kempt)","4.5","Burgers","3486 Kempt Road, Halifax, NS B3K 4X7","44.6617351","-63.6137939","NS"
965,"Starbucks (Garden Stone)","4.9","Bakery","5554 Kaye Street, Halifax, NS B3K 1Y5","44.6615179","-63.599453","NS"
966,"Wendy's (3580 Kempt Road)","4.6","Fast food","3580 Kempt Road, Halifax, NS B3K 4X8","44.6618505","-63.6167589","NS"
967,"Subway (3045 Robie St)","4.5","American","3045 Robie St, Halifax, NS B3K 4P6","44.6593102","-63.6007236","NS"
968,"Bobar","4.3","Desserts","6082 Quinpool Rd, Halifax, NS B3L 1A1","44.6464749","-63.5926562","NS"
969,"Booster Juice (6140 Young St)","4.8","Healthy","6140 Young St Halifax NS B3K 0G2","44.6579803","-63.6039693","NS"
970,"Omelet Brunch & Munch","4.1","Breakfast and brunch","6386 Quinpool Rd, Halifax, NS B3L 4N2","44.6444531","-63.5998651","NS"
971,"Kempster's Cookhouse & Eatery","4.4","Breakfast and brunch","3644 Kempt Rd, Halifax, NS B3K","44.6625121","-63.6185273","NS"
972,"Tim Horton's (7010 Mumford Road Building B4)","4.6","Bakery","7010 Mumford Road Building B4, Halifax, NS B3L 2H6","44.6477845","-63.6222154","NS"
973,"Bedford Basin Farmers Market","New","American","397 Bedford Highway, Halifax, NS B3M 2L3","44.6842075","-63.6603641","NS"
974,"Julienne's Restaurant and Catering","New","Sandwiches","5595 Fenwick St Halifax NS B3H","44.6382214","-63.5743991","NS"
975,"A&W (68 Hogan Court)","4.5","Fast food","68 Hogan Court, Halifax, NS B4b2g2","44.6967892","-63.6898987","NS"
976,"Pür & Simple (Halifax)","4.5","Breakfast and brunch","6140 Young Street, Suite 105, Halifax, NS B3K 0G2","44.6579803","-63.6039693","NS"
977,"Cousin's Restaurant","New","Greek","3545 Robie Street, Halifax, NS B3K","44.6654513","-63.6106331","NS"
978,"Flynn's Dairy Bar & Convenience (Spring Garden)","4.4","Convenience","5994 Spring Garden Rd, Halifax, NS B3H 1Y7","44.6402665","-63.5865522","NS"
979,"East Cup Cafe","New","Coffee & tea","1936 Robie St, Halifax, NS B3H","44.646042","-63.590246","NS"
980,"Cabin Coffee","4.2","Coffee & tea","1554 Hollis St, Halifax, NS B3J","44.6453969","-63.5721739","NS"
981,"Cora Breakfast and Lunch (277 Lacewood Drive)","4.7","Breakfast and brunch","277 Lacewood Drive, Halifax, NS B3M3Y7","44.6637996","-63.6559444","NS"
982,"The Nook","4.8","Sandwich","2118 Gottingen St., Halifax, NS B3K 0C5","44.6520133","-63.5836097","NS"
983,"Fortune Doughnut","4.9","Desserts","2306 Gottingen, Halifax, NS B3K","44.6540789","-63.5866521","NS"
984,"Healthyway Cafe","New","Healthy","6960 Mumford Rd, Halifax, NS B3L","44.6450702","-63.6194877","NS"
985,"The Cake Factory (Spring Garden)","4.6","American","5994 Spring Garden Rd, Halifax, NS B3H 1Y7","44.6402665","-63.5865522","NS"
986,"Second Cup ft. Pinkberry (185 Chain Lake Drive)","4.5","Coffee & tea","185 Chain Lake Drive, Halifax, NS B3S","44.6465493","-63.6739049","NS"
987,"Bluenose II Restaurant","3.8","Seafood","1824 Hollis Street, Halifax, NS B3J 1W4","44.649309","-63.573854","NS"
988,"Cafe Lara","5","Allergy friendly","2347 Agricola Street, Halifax, NS B3K 4B7","44.652258","-63.5887991","NS"
989,"Fairview Variety Quik-Way","4.9","Convenience","130 Main Ave, Halifax, NS B3M 1B1","44.6570639","-63.6394876","NS"
990,"VINTEA Bubble House","New","Asian","644 Portland Street, Dartmouth, NS B2W 6C4","44.6707786","-63.5261709","NS"
991,"Chatime (Spring Garden)","4.4","Asian","1480 Brenton Street, Halifax, NS B3J 2K7","44.6421985","-63.5787553","NS"
992,"White Alley Bubble Tea","5","Bubble tea","1594 Granville Street, Halifax, NS B3J 1X1","44.6462226","-63.5730406","NS"
993,"Greco Pizza (Hammonds Plains)","New","Pizza","1210 Hammonds Plains Road, NS B4B 1B4","44.7237427","-63.7362793","NS"
994,"Makhani Indian Restaurant","4.5","Indian","1595 Bedford Highway, NS B4A","44.7320648","-63.6551465","NS"
995,"Cacao 70 (Halifax)","4.4","Desserts","1875 Upper Water St, Halifax, NS B3J","44.650528","-63.5728073","NS"
996,"BarBurrito: Nova Scotia: Cole Harbour","4.8","Mexican","4 Forest Hills Parkway , Unit 1115A, Dartmouth, NS B2W 5G7","44.6730972","-63.4919107","NS"
997,"FIVE GUYS ARGYLE (NS-1915)","4.7","Burgers","1630 Argyle St, Halifax, NS B3J","44.6462024","-63.5745348","NS"
998,"Pizza Pizza (1565 Argyle St.)","4.6","Chicken Strips","1565 Argyle St., Halifax, NS B3J 2B2","44.6452626","-63.5737373","NS"
999,"Red Chillies Flavours of India","4.3","Comfort food","936 Bedford Hwy, Halifax, NS B4A","44.7147759","-63.679257","NS"
1000,"Beyond Temptation","4.6","Indian","5657 Spring Garden Road Suite 195, Halifax, NS B3J 3R4","44.6429513","-63.5785477","NS"
1001,"Happy Sushi Restaurant","4.6","Sushi","75 Peakview Way, Halifax, NS B3M 0G2","44.6978296","-63.6856757","NS"
1002,"Fong Sing Restaurant","4.7","Chinese","278 Lacewood Drive, Halifax, NS B3M 3N8","44.6614885","-63.6568899","NS"
1003,"Efty Dishes Restaurant","4.9","African","70 Lacewood Dr, Halifax, NS B3M","44.6609385","-63.6373066","NS"
1004,"ZenQ (Halifax)","4.4","Bubble Tea","1065 Barrington St, Halifax, NS B3H 2P8","44.6374391","-63.5693031","NS"
1005,"Boston Pizza (Downtown Halifax)","4.5","Italian","1858 Granville Street, Halifax, NS B3J","44.6494609","-63.5746098","NS"
1006,"May Garden (Dartmouth)","4.5","Chinese","136 Portland Street, Dartmouth, NS B2Y","44.6669232","-63.5649089","NS"
1007,"Efes Turkish Cuisine","4.6","European","5986 Spring Garden Road, Halifax, NS B3H 1Y7","44.6403185","-63.5863863","NS"
1008,"Sunrise Market (Cannon St)","4.7","Convenience","217 Cannon Street East, Hamilton, ON L8L 2A9","43.2591471","-79.8573582","ON"
1009,"Big Bear Food Mart","4","American","82 Wellington Street North, Hamilton, ON L8R 1N1","43.2559382","-79.8577265","ON"
1010,"Starbucks (112 King Street East)","4.7","Bakery","112 King Street East, Hamilton, ON L8N 1A8","43.2554792","-79.8664457","ON"
1011,"McDonald's (675 Upper James Street)","4.4","American","675 Upper James Street, Hamilton, ON L9C 2Z5","43.234196","-79.8778084","ON"
1012,"Wendy's (869 Upper James Street)","4.5","Fast food","869 Upper James Street, Hamilton, ON L9C 3A3","43.2269018","-79.8820517","ON"
1013,"Tim Horton's (80 John St)","4.7","Bakery","80 John St, Hamilton, ON L8N 2C2","43.2538686","-79.8679728","ON"
1014,"Burger King #2426 (210 Centennial Parkway North)","4.4","American","210 Centennial Parkway North, Hamilton, ON L8E 4A1","43.2359566","-79.7600961","ON"
1015,"7-Eleven (622 Upper Wellington St @ Brucedale)","4.5","Wings","622 Upper Wellington St @ Brucedale, Hamilton, ON L9A","43.237006","-79.8678737","ON"
1016,"ANYTIME CONVENIENCE","4.7","Convenience","180 Queen Street South, Hamilton, ON L8P","43.2538438","-79.881402","ON"
1017,"A&W (Upper James St)","4","Fast food","931 Upper James St, Hamilton, ON L9C 3A6","43.2246705","-79.882922","ON"
1018,"Subway (830 Upper James St)","4.6","American","830 Upper James St, Hamilton, ON L9C","43.2285462","-79.8824454","ON"
1019,"Arha Variety","3.9","Burgers","527 James Street North, Hamilton, ON L8L 1J6","43.2708754","-79.8631303","ON"
1020,"Sunset Grill (1299 Barton St.)","4.5","Breakfast and brunch","1299 Barton St., Hamilton, ON L8H 2W1","43.2497794","-79.8073049","ON"
1021,"Jet Cafe","4.5","Coffee & tea","184 King Street East, Hamilton, ON L8N","43.2547887","-79.8636918","ON"
1022,"Wimpy's Diner (Main Street)","4.4","Burgers","875 Main Street West, Hamilton, ON L8S 4R1","43.2590261","-79.9007559","ON"
1023,"Canadian Tire Gas+ (1321 Barton Street E)","New","Snacks","1321 Barton Street East, Hamilton, ON L8H 2V4","43.2510416","-79.8059476","ON"
1024,"Booster Juice (1400 Upper James Street)","5","Healthy","1400 Upper James Street, Hamilton, ON L9B","43.2094098","-79.8911938","ON"
1025,"Taste of Lagos","4","Steak","54 James St N, Hamilton, ON L8R 2K1","43.2582112","-79.8678993","ON"
1026,"On the Run 42366 | 1160 Fennell Ave E","New","Everyday Essentials","1160 Fennell Ave. E., HAMILTON, ON L8T 1S5","43.2248585","-79.8279453","ON"
1027,"Hasty Market (Kenilworth Ave N)","New","Snacks","180 Kenilworth Avenue North, Hamilton, ON L8H 4S1","43.2456701","-79.8073251","ON"
1028,"Metro (1161 Barton Street East)","4.5","Grocery","1161 Barton St E, Hamilton, ON L8H","43.2534018","-79.8127576","ON"
1029,"Sunnyside Grill","4.7","Breakfast & Brunch","930 Upper Paradise Rd, 15, Hamilton, ON L9B 2N1","43.2175938","-79.9198702","ON"
1030,"Cora Breakfast and Lunch (1400 Upper James St. Unit # 10)","4.1","Breakfast and brunch","1400 Upper James St. , Unit # 10, Hamilton, ON L9B","43.21002","-79.89139","ON"
1031,"Denny's Canada (560 Centennial Parkway North)","4.1","Breakfast and brunch","560 Centennial Parkway North, Hamilton, ON L8E 0G2","43.2441009","-79.7554798","ON"
1032,"Stacked Pancake & Breakfast House (Stoney Creek)","4.4","Breakfast and brunch","140 Highway 8, Stoney Creek, ON L8G 1C2","43.2232821","-79.7456336","ON"
1033,"Pür & Simple (Ancaster)","4.8","Breakfast and brunch","737 Golf Links Rd, Hamilton, ON L9K 1L5","43.2260482","-79.9538252","ON"
1034,"Presotea (Hamilton)","4.7","Juice & Smoothies","1037 King St W, Hamilton, ON L8S 1L6","43.2614371","-79.906556","ON"
1035,"Sweet Jesus (Limeridge Mall)","4.7","Ice Cream & Frozen Yogurt","999 Upper Wentworth St, Hamilton, ON L9A 4X5","43.2176239","-79.8615333","ON"
1036,"Dairy Queen (1015 Golf Links Rd)","4.8","American","1015 Golf Links Rd, Hamilton, ON L9K","43.2288031","-79.9418297","ON"
1037,"Marble Slab Creamery (Ancanster)","4.9","Ice cream & frozen yogurt","73 Wilson Street West, 27D, Ancaster, ON L9G","43.2169922","-79.9898449","ON"
1038,"Little Caesars (Rymal Road)","4.8","Pizza","2273 Rymal Road, Stoney Creek, ON L8J","43.1747074","-79.7779227","ON"
1039,"Toronto Pho (Hamilton)","4.7","Vietnamese","1070 Stone Church Road East, Unit 24, Hamilton, ON L8W 3K8","43.1989914","-79.8419728","ON"
1040,"Cupcakes","4.9","American","1050 King Street West, Hamilton, ON L8S","43.2616777","-79.9070573","ON"
1041,"Crumbled","4.6","Dessert: Other","339 Barton St E, Hamilton, ON L8L 2X6","43.2605547","-79.8510612","ON"
1042,"I heart Boba","4.9","Asian","80 Dundas Street East, ON L0R","43.3171302","-79.9106386","ON"
1043,"Mahal Restaurant","4.3","Indian","527 Upper Sherman Ave, Hamilton, ON L8V 3L9","43.2318501","-79.847115","ON"
